name,price,availability,item_type,description,product_format,number_in_case,product_weight_numeric,product_weight_metric
Similac Advance Infant Formula Powder,$29.49,BACKORDER,SKU#:53359e,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months.
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E
",container,,1.45,lb
Similac Pro-Sensitive Infant Formula Powder,$165.99,In stock,SKU#:66441,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2'-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2'-FL HMO helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO**
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, our exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
**ingredients not genetically engineered
",can, Case of 4                ,29.8,oz
Similac Advance Infant Formula Powder,$36.49,In stock,SKU#:58585e,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E
",can,,30.8,oz
Similac Pro-Advance Infant Formula Ready-to-Feed,$57.96,In stock,SKU#:67436,"Similac Pro-Advance is the first infant formula with 2’-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function† between formula-fed and breastfed infants
• Unlike other formulas, Similac has 2’-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are NON-GMO‡
• From Birth - 12 months; complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
†As measured in blood samples in a clinical study
‡Ingredients not genetically engineered
",bottle, Case of 48                ,2,oz
Similac Advance Infant Formula Powder,$29.49,BACKORDER,SKU#:53359e,"Similac Advance is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• From Birth - 12 months.
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E
",container,,1.45,lb
Similac Pro-Sensitive Infant Formula Ready-to-Feed,$57.96,In stock,SKU#:67438,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found† in breast milk.
• Similac with 2-FL Human Milk Oligosaccharide helps support baby’s developing immune system by closing multiple gaps in immune function‡ between formula-fed and breastfed infants.
• Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
• All ingredients are carefully selected to meet our high standards and are Non-GMO§
• From Birth – 12 months; Complete nutrition for your baby’s first year
• Features OptiGRO™, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

*Not from human milk
†At significant levels
‡As measured in blood samples in a clinical study
§Ingredients not genetically engineered


SKU 67438
",bottle, Case of 48                ,2,oz
Similac NeoSure Infant Formula Powder,$33.50,BACKORDER,SKU#:66923e,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.
",can,,22.8,oz
Similac NeoSure Infant Formula Ready-to-Feed,$64.44,In stock,SKU#:67442,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely.  Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1 

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for baby’s growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk:  DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.

SKU # 67442
",bottle, Case of 48                ,2,oz
"Sorry, we couldn’t find that page.",,,,,,,,
Similac Organic Infant Formula Ready-to-Feed,$51.99,BACKORDER,SKU#:56525,"Similac Organic is designed to support your baby’s developing brain, eyes, immune system and to help build strong bones.
• For infants from birth - 12 months
• Complete nutrition for your baby’s first year
• Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E
• Certified USDA Organic
• Made with wholesome organic milk and other organic ingredients
",bottle, Case of 48                ,2,oz
