item_id,mineral,measure,value,perc_daily_recom
56525,Calcium, mg , 78,
56525,Calcium, mEq , 3.9,
56525,Phosphorus, mg , 42,
56525,Magnesium, mg , 6,
56525,Iron, mg , 1.8,
56525,Zinc, mg , 0.75,
56525,Manganese, mcg , 5,
56525,Copper, mcg , 90,
56525,Iodine, mcg , 6,
56525,Selenium, mcg , 2,
56525,Sodium, mg , 24,
56525,Sodium, mEq , 1.04,
56525,Potassium, mg , 105,
56525,Potassium, mEq , 2.7,
56525,Chloride, mg , 65,
56525,Chloride, mEq , 1.8,
56308,Calcium, mg , 110,
56308,Calcium, mEq , 5.5,
56308,Phosphorus, mg , 79,
56308,Magnesium, mg , 7.9,
56308,Iron, mg , 1.9,
56308,Zinc, mg , 0.79,
56308,Manganese, mcg , 25,
56308,Copper, mcg , 79,
56308,Iodine, mcg , 16,
56308,Selenium, mcg , 2,
56308,Sodium, mg , 46,
56308,Sodium, mEq , 2,
56308,Potassium, mg , 110,
56308,Potassium, mEq , 2.8,
56308,Chloride, mg , 65,
56308,Chloride, mEq , 1.8,
62139,Calcium, mg , 88,
62139,Calcium, mEq , 4.4,
62139,Phosphorus, mg , 59,
62139,Magnesium, mg , 6,
62139,Iron, mg , 1.9,
62139,Zinc, mg , 0.79,
62139,Manganese, mcg , 5,
62139,Copper, mcg , 95,
62139,Iodine, mcg , 9,
62139,Selenium, mcg , 2,
62139,Sodium, mg , 32,
62139,Sodium, mEq , 1.4,
62139,Potassium, mg , 110,
62139,Potassium, mEq , 2.8,
62139,Chloride, mg , 68,
62139,Chloride, mEq , 1.9,
66937e,Calcium, mg , 105,
66937e,Calcium, mEq , 5.3,
66937e,Phosphorus, mg , 70,
66937e,Magnesium, mg , 6,
66937e,Iron, mg , 1.9,
66937e,Zinc, mg , 0.79,
66937e,Manganese, mcg , 5,
66937e,Copper, mcg , 95,
66937e,Iodine, mcg , 9,
66937e,Selenium, mcg , 2,
66937e,Sodium, mg , 46,
66937e,Sodium, mEq , 2,
66937e,Potassium, mg , 121,
66937e,Potassium, mEq , 3.1,
66937e,Chloride, mg , 68,
66937e,Chloride, mEq , 1.9,
66939e,Calcium, mg , 105,
66939e,Calcium, mEq , 5.3,
66939e,Phosphorus, mg , 70,
66939e,Magnesium, mg , 6,
66939e,Iron, mg , 1.9,
66939e,Zinc, mg , 0.79,
66939e,Manganese, mcg , 5,
66939e,Copper, mcg , 95,
66939e,Iodine, mcg , 9,
66939e,Selenium, mcg , 2,
66939e,Sodium, mg , 46,
66939e,Sodium, mEq , 2,
66939e,Potassium, mg , 121,
66939e,Potassium, mEq , 3.1,
66939e,Chloride, mg , 68,
66939e,Chloride, mEq , 1.9,
66937,Calcium, mg , 105,
66937,Calcium, mEq , 5.3,
66937,Phosphorus, mg , 70,
66937,Magnesium, mg , 6,
66937,Iron, mg , 1.9,
66937,Zinc, mg , 0.79,
66937,Manganese, mcg , 5,
66937,Copper, mcg , 95,
66937,Iodine, mcg , 9,
66937,Selenium, mcg , 2,
66937,Sodium, mg , 46,
66937,Sodium, mEq , 2,
66937,Potassium, mg , 121,
66937,Potassium, mEq , 3.1,
66937,Chloride, mg , 68,
66937,Chloride, mEq , 1.9,
67446,Calcium, mg , 180,
67446,Calcium, mEq , 9.0,
67446,Phosphorus, mg , 100,
67446,Magnesium, mg , 12,
67446,Iron, mg , 1.8,
67446,Zinc, mg , 1.5,
67446,Manganese, mcg , 12,
67446,Copper, mcg , 250,
67446,Iodine, mcg , 6,
67446,Selenium, mcg , 2,
67446,Sodium, mg , 43,
67446,Sodium, mEq , 1.9,
67446,Potassium, mg , 129,
67446,Potassium, mEq , 3.3,
67446,Chloride, mg , 81,
67446,Chloride, mEq , 2.3,
66939,Calcium, mg , 105,
66939,Calcium, mEq , 5.3,
66939,Phosphorus, mg , 70,
66939,Magnesium, mg , 6,
66939,Iron, mg , 1.9,
66939,Zinc, mg , 0.79,
66939,Manganese, mcg , 5,
66939,Copper, mcg , 95,
66939,Iodine, mcg , 9,
66939,Selenium, mcg , 2,
66939,Sodium, mg , 46,
66939,Sodium, mEq , 2,
66939,Potassium, mg , 121,
66939,Potassium, mEq , 3.1,
66939,Chloride, mg , 68,
66939,Chloride, mEq , 1.9,
67448p4,Calcium, mg , 180,
67448p4,Calcium, mEq , 9.0,
67448p4,Phosphorus, mg , 100,
67448p4,Magnesium, mg , 12,
67448p4,Iron, mg , 1.8,
67448p4,Zinc, mg , 1.5,
67448p4,Manganese, mcg , 12,
67448p4,Copper, mcg , 250,
67448p4,Iodine, mcg , 6,
67448p4,Selenium, mcg , 2,
67448p4,Sodium, mg , 43,
67448p4,Sodium, mEq , 1.9,
67448p4,Potassium, mg , 129,
67448p4,Potassium, mEq , 3.3,
67448p4,Chloride, mg , 81,
67448p4,Chloride, mEq , 2.3,
67448,Calcium, mg , 180,
67448,Calcium, mEq , 9.0,
67448,Phosphorus, mg , 100,
67448,Magnesium, mg , 12,
67448,Iron, mg , 1.8,
67448,Zinc, mg , 1.5,
67448,Manganese, mcg , 12,
67448,Copper, mcg , 250,
67448,Iodine, mcg , 6,
67448,Selenium, mcg , 2,
67448,Sodium, mg , 43,
67448,Sodium, mEq , 1.9,
67448,Potassium, mg , 129,
67448,Potassium, mEq , 3.3,
67448,Chloride, mg , 81,
67448,Chloride, mEq , 2.3,
5372976e,Calcium, mg , 88,
5372976e,Calcium, mEq , 4.4,
5372976e,Phosphorus, mg , 59,
5372976e,Magnesium, mg , 6,
5372976e,Iron, mg , 1.9,
5372976e,Zinc, mg , 0.79,
5372976e,Manganese, mcg , 5,
5372976e,Copper, mcg , 95,
5372976e,Iodine, mcg , 9,
5372976e,Selenium, mcg , 2,
5372976e,Sodium, mg , 32,
5372976e,Sodium, mEq , 1.4,
5372976e,Potassium, mg , 110,
5372976e,Potassium, mEq , 2.8,
5372976e,Chloride, mg , 68,
5372976e,Chloride, mEq , 1.9,
5081978e,Calcium, mg , 110,
5081978e,Calcium, mEq , 5.5,
5081978e,Phosphorus, mg , 79,
5081978e,Magnesium, mg , 7.9,
5081978e,Iron, mg , 1.9,
5081978e,Zinc, mg , 0.79,
5081978e,Manganese, mcg , 25,
5081978e,Copper, mcg , 79,
5081978e,Iodine, mcg , 16,
5081978e,Selenium, mcg , 2,
5081978e,Sodium, mg , 46,
5081978e,Sodium, mEq , 2,
5081978e,Potassium, mg , 110,
5081978e,Potassium, mEq , 2.8,
5081978e,Chloride, mg , 65,
5081978e,Chloride, mEq , 1.8,
00850e,Calcium, mg , 56,
00850e,Calcium, mEq , 2.8,
00850e,Phosphorus, mg , 28,
00850e,Magnesium, mg , 6,
00850e,Iron, mg , 0.7,
00850e,Zinc, mg , 0.8,
00850e,Manganese, mcg , 5,
00850e,Copper, mcg , 90,
00850e,Iodine, mcg , 6,
00850e,Selenium, mcg , 2,
00850e,Sodium, mg , 24,
00850e,Sodium, mEq , 1.0,
00850e,Potassium, mg , 80,
00850e,Potassium, mEq , 2.1,
00850e,Chloride, mg , 59,
00850e,Chloride, mEq , 1.7,
5082178e,Calcium, mg , 78,
5082178e,Calcium, mEq , 3.9,
5082178e,Phosphorus, mg , 42,
5082178e,Magnesium, mg , 6,
5082178e,Iron, mg , 1.8,
5082178e,Zinc, mg , 0.75,
5082178e,Manganese, mcg , 5,
5082178e,Copper, mcg , 90,
5082178e,Iodine, mcg , 6,
5082178e,Selenium, mcg , 2,
5082178e,Sodium, mg , 24,
5082178e,Sodium, mEq , 1.04,
5082178e,Potassium, mg , 105,
5082178e,Potassium, mEq , 2.7,
5082178e,Chloride, mg , 65,
5082178e,Chloride, mEq , 1.8,
62599,Calcium, mg , 105,
62599,Calcium, mEq , 5.3,
62599,Phosphorus, mg , 70,
62599,Magnesium, mg , 6,
62599,Iron, mg , 1.9,
62599,Zinc, mg , 0.79,
62599,Manganese, mcg , 5,
62599,Copper, mcg , 95,
62599,Iodine, mcg , 9,
62599,Selenium, mcg , 2,
62599,Sodium, mg , 46,
62599,Sodium, mEq , 2,
62599,Potassium, mg , 121,
62599,Potassium, mEq , 3.1,
62599,Chloride, mg , 68,
62599,Chloride, mEq , 1.9,
54598p50,Calcium, mg , 29,
54598p50,Calcium, mEq , 1.46,
54598p50,Phosphorus, mg , 16,
54598p50,Magnesium, mg , 1.7,
54598p50,Iron, mg , 0.08<sup>*</sup>,
54598p50,Zinc, mg , 0.25,
54598p50,Manganese, mcg , 1.8,
54598p50,Copper, mcg , 43,
54598p50,Iodine, mcg , 0.8,
54598p50,Selenium, mcg , 0.1,
54598p50,Sodium, mg , 4,
54598p50,Sodium, mEq , 0.16,
54598p50,Potassium, mg , 16,
54598p50,Potassium, mEq , 0.40,
54598p50,Chloride, mg , 9,
54598p50,Chloride, mEq , 0.27,
5081978,Calcium, mg , 110,
5081978,Calcium, mEq , 5.5,
5081978,Phosphorus, mg , 79,
5081978,Magnesium, mg , 7.9,
5081978,Iron, mg , 1.9,
5081978,Zinc, mg , 0.79,
5081978,Manganese, mcg , 25,
5081978,Copper, mcg , 79,
5081978,Iodine, mcg , 16,
5081978,Selenium, mcg , 2,
5081978,Sodium, mg , 46,
5081978,Sodium, mEq , 2,
5081978,Potassium, mg , 110,
5081978,Potassium, mEq , 2.8,
5081978,Chloride, mg , 65,
5081978,Chloride, mEq , 1.8,
5596378,Calcium, mg , 105,
5596378,Calcium, mEq , 5.2,
5596378,Phosphorus, mg , 75,
5596378,Magnesium, mg , 7.5,
5596378,Iron, mg , 1.8,
5596378,Zinc, mg , 0.75,
