,url,store,name,price,item_id,description,allergin_info,Form,entry_date,product_format,product_measurement_metric,product_measurement_numeric,bulk_sales_type,bulk_sales_numeric,serving_size_metric,serving_size_numeric
214,https://abbottstore.com/pedialyte-grape-1-liter-bottle-case-of-8-00240.html,Abbott,Pedialyte,43.99,240,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,Liquid,6/05/2020 12:54,bottle,L,1,Case,8,,
530,https://abbottstore.com/pedialyte-grape-1-liter-bottle-case-of-8-00240.html,Abbott,Pedialyte,43.99,240,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,Liquid,6/05/2020 14:30,bottle,L,1,Case,8,,
212,https://abbottstore.com/pedialyte-unflavored-1-liter-bottle-case-of-8-00336.html,Abbott,Pedialyte,43.99,336,"REPLACES ELECTROLYTES: A way forkids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,Liquid,6/05/2020 12:54,bottle,L,1,Case,8,,
531,https://abbottstore.com/pedialyte-unflavored-1-liter-bottle-case-of-8-00336.html,Abbott,Pedialyte,43.99,336,"REPLACES ELECTROLYTES: A way forkids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,Liquid,6/05/2020 14:30,bottle,L,1,Case,8,,
205,https://abbottstore.com/pedialyte-mixed-fruit-1-liter-bottle-case-of-8-00365.html,Abbott,Pedialyte,43.99,365,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,Liquid,6/05/2020 12:54,bottle,L,1,Case,8,,
522,https://abbottstore.com/pedialyte-mixed-fruit-1-liter-bottle-case-of-8-00365.html,Abbott,Pedialyte,43.99,365,"REPLACES ELECTROLYTES: A flavorful way for kids and adults to replace electrolytes to feel better fast.


MORE EFFECTIVE THAN COMMON BEVERAGES: Designed to replace fluids and electrolytes more effectively than sports drinks, Pedialyte provides an optimal balance of sugar and electrolytes to prevent mild to moderate dehydration. Its medical-grade hydration.


TRUSTED BRAND: #1 pediatrician* and pharmacist recommended brand.* For over 50 years, Pedialyte has been the go-to rehydration drink.


GREAT-TASTING FLAVORS: Enjoy Pedialyte liters, powder packs, and Freezer Pops in 17 refreshing flavors.


POUR & HYDRATE: Tastes best served chilled.To maintain proper hydration, 1-2 liters of Pedialyte may be needed per day.

Pedialyte electrolyte solution is an advanced rehydration drink specially formulated with an optimal balance of sugar and electrolytes to help prevent mild to moderate dehydration in both kids and adults. From the #1 pediatrician* and pharmacist recommended brand* for hydration, Pedialyte electrolyte drink is medical-grade hydration that quickly replenishes lost fluids and electrolytes. Pedialyte promotes fluid absorption more effectively than sports drinks, juice, or even water. Feel better fast with Pedialyte!
*Among pediatricians and pharmacists surveyed, respectively (2017). Data on file with manufacturer",,Liquid,6/05/2020 14:30,bottle,L,1,Case,8,,
192,https://abbottstore.com/freestyle-insulinx-carrying-case-21372.html,Abbott,Carrying Case for FreeStyle InsuLinx System,8.49,21372,"Carrying case for the FreeStyle Insulinx system. This carrying case is designed to conveniently hold your meter, test strips, lancing device and lancets (sold separately).
Quantity: 1 black, zippered carrying case.Dimensions: L=5.5"" x W=3.5"" x H=1""

FreeStyle, Libre, and related brand marks are trademarks of Abbott Diabetes Care Inc. in various jurisdictions. Other trademarks are the property of their respective owners.",,,6/05/2020 12:54,Pack,,1-Pack,,,,
510,https://abbottstore.com/freestyle-insulinx-carrying-case-21372.html,Abbott,Carrying Case for FreeStyle InsuLinx System,8.49,21372,"Carrying case for the FreeStyle Insulinx system. This carrying case is designed to conveniently hold your meter, test strips, lancing device and lancets (sold separately).
Quantity: 1 black, zippered carrying case.Dimensions: L=5.5"" x W=3.5"" x H=1""

FreeStyle, Libre, and related brand marks are trademarks of Abbott Diabetes Care Inc. in various jurisdictions. Other trademarks are the property of their respective owners.",,,6/05/2020 14:30,Pack,,1-Pack,,,,
190,https://abbottstore.com/freestyle-precision-neo-carrying-case-25189.html,Abbott,Carrying Case for FreeStyle Precision Neo System,8.99,25189,"Carrying case for the FreeStyle Precision Neo Blood Glucose Monitoring System. This carrying case is designed to conveniently hold your meter, test strips, lancing device and lancets (sold separately).
Quantity: 1 black, zippered carrying caseDimensions: L=5.5"" x W=3.5"" x H=1""

FreeStyle, Libre, and related brand marks are trademarks of Abbott Diabetes Care Inc. in various jurisdictions. Other trademarks are the property of their respective owners.",,,6/05/2020 12:54,Pack,,1-Pack,,,,
507,https://abbottstore.com/freestyle-precision-neo-carrying-case-25189.html,Abbott,Carrying Case for FreeStyle Precision Neo System,8.99,25189,"Carrying case for the FreeStyle Precision Neo Blood Glucose Monitoring System. This carrying case is designed to conveniently hold your meter, test strips, lancing device and lancets (sold separately).
Quantity: 1 black, zippered carrying caseDimensions: L=5.5"" x W=3.5"" x H=1""

FreeStyle, Libre, and related brand marks are trademarks of Abbott Diabetes Care Inc. in various jurisdictions. Other trademarks are the property of their respective owners.",,,6/05/2020 14:30,Pack,,1-Pack,,,,
