item_id,vitamin,measure,value,perc_daily_recom,vit
56525,, IU , 1.5,,Vitamin E
56525,, mcg , 8,,Vitamin K
56525,, mcg , 100,,Thiamin (Vitamin B1)
56525,, mcg , 150,,Riboflavin (Vitamin B2)
56525,, mcg , 60,,Vitamin B6
56525,, mcg , 0.25,,Vitamin B12
56525,, mcg , 1050,,Niacin
56525,, mcg , 15,,Folic Acid (Folacin)
56525,, mcg , 450,,Pantothenic Acid
56525,, mcg , 4.4,,Biotin
56525,, mg , 9,,Vitamin C (Ascorbic Acid)
56525,, mg , 16,,Choline
56525,, mg , 4.7,,Inositol
56525,, IU , 300,,Vitamin A
56525,, IU , 60,,Vitamin D
56308,, IU , 1.5,,Vitamin E
56308,, mcg , 11,,Vitamin K
56308,, mcg , 63,,Thiamin (Vitamin B1)
56308,, mcg , 95,,Riboflavin (Vitamin B2)
56308,, mcg , 63,,Vitamin B6
56308,, mcg , 0.47,,Vitamin B12
56308,, mcg , 1400,,Niacin
56308,, mcg , 16,,Folic Acid (Folacin)
56308,, mcg , 780,,Pantothenic Acid
56308,, mcg , 4.7,,Biotin
56308,, mg , 9,,Vitamin C (Ascorbic Acid)
56308,, mg , 24,,Choline
56308,, mg , 5,,Inositol
56308,, IU , 300,,Vitamin A
56308,, IU , 60,,Vitamin D
62139,, IU , 60,,Vitamin D
62139,, IU , 1.5,,Vitamin E
62139,, mcg , 8,,Vitamin K
62139,, mcg , 100,,Thiamin (Vitamin B1)
62139,, mcg , 160,,Riboflavin (Vitamin B2)
62139,, mcg , 63,,Vitamin B6
62139,, mcg , 0.26,,Vitamin B12
62139,, mcg , 1100,,Niacin
62139,, mcg , 16,,Folic Acid (Folacin)
62139,, mcg , 470,,Pantothenic Acid
62139,, mcg , 4.6,,Biotin
62139,, mg , 9,,Vitamin C (Ascorbic Acid)
62139,, mg , 24,,Choline
62139,, mg , 4.5,,Inositol
62139,, IU , 300,,Vitamin A
66937e,, IU , 1.5,,Vitamin E
66937e,, mcg , 8,,Vitamin K
66937e,, mcg , 100,,Thiamin (Vitamin B1)
66937e,, mcg , 160,,Riboflavin (Vitamin B2)
66937e,, mcg , 63,,Vitamin B6
66937e,, mcg , 0.26,,Vitamin B12
66937e,, mcg , 1100,,Niacin
66937e,, mcg , 16,,Folic Acid (Folacin)
66937e,, mcg , 470,,Pantothenic Acid
66937e,, mcg , 4.6,,Biotin
66937e,, mg , 9,,Vitamin C (Ascorbic Acid)
66937e,, mg , 24,,Choline
66937e,, mg , 4.5,,Inositol
66937e,, IU , 300,,Vitamin A
66937e,, IU , 60,,Vitamin D
66939e,, IU , 1.5,,Vitamin E
66939e,, mcg , 8,,Vitamin K
66939e,, mcg , 100,,Thiamin (Vitamin B1)
66939e,, mcg , 160,,Riboflavin (Vitamin B2)
66939e,, mcg , 63,,Vitamin B6
66939e,, mcg , 0.26,,Vitamin B12
66939e,, mcg , 1100,,Niacin
66939e,, mcg , 16,,Folic Acid (Folacin)
66939e,, mcg , 470,,Pantothenic Acid
66939e,, mcg , 4.6,,Biotin
66939e,, mg , 9,,Vitamin C (Ascorbic Acid)
66939e,, mg , 24,,Choline
66939e,, mg , 4.5,,Inositol
66939e,, IU , 300,,Vitamin A
66939e,, IU , 60,,Vitamin D
66937,, IU , 1.5,,Vitamin E
66937,, mcg , 8,,Vitamin K
66937,, mcg , 100,,Thiamin (Vitamin B1)
66937,, mcg , 160,,Riboflavin (Vitamin B2)
66937,, mcg , 63,,Vitamin B6
66937,, mcg , 0.26,,Vitamin B12
66937,, mcg , 1100,,Niacin
66937,, mcg , 16,,Folic Acid (Folacin)
66937,, mcg , 470,,Pantothenic Acid
66937,, mcg , 4.6,,Biotin
66937,, mg , 9,,Vitamin C (Ascorbic Acid)
66937,, mg , 24,,Choline
66937,, mg , 4.5,,Inositol
66937,, IU , 300,,Vitamin A
66937,, IU , 60,,Vitamin D
67446,, IU , 1250,,Vitamin A
67446,, IU , 150,,Vitamin D
67446,, IU , 4.0,,Vitamin E
67446,, mcg , 12,,Vitamin K
67446,, mcg , 250,,Thiamin (Vitamin B1)
67446,, mcg , 620,,Riboflavin (Vitamin B2)
67446,, mcg , 250,,Vitamin B6
67446,, mcg , 0.55,,Vitamin B12
67446,, mcg , 5000,,Niacin
67446,, mcg , 37,,Folic Acid (Folacin)
67446,, mcg , 1900,,Pantothenic Acid
67446,, mcg , 37,,Biotin
67446,, mg , 37,,Vitamin C (Ascorbic Acid)
67446,, mg , 10,,Choline
67446,, mg , 40,,Inositol
66939,, IU , 1.5,,Vitamin E
66939,, mcg , 8,,Vitamin K
66939,, mcg , 100,,Thiamin (Vitamin B1)
66939,, mcg , 160,,Riboflavin (Vitamin B2)
66939,, mcg , 63,,Vitamin B6
66939,, mcg , 0.26,,Vitamin B12
66939,, mcg , 1100,,Niacin
66939,, mcg , 16,,Folic Acid (Folacin)
66939,, mcg , 470,,Pantothenic Acid
66939,, mcg , 4.6,,Biotin
66939,, mg , 9,,Vitamin C (Ascorbic Acid)
66939,, mg , 24,,Choline
66939,, mg , 4.5,,Inositol
66939,, IU , 300,,Vitamin A
66939,, IU , 60,,Vitamin D
51002,, % , 96.6,,Water
51002,, % , 5.0,,Dextrose
51002,,,,,Calories : 20
67448p4,, IU , 1250,,Vitamin A
67448p4,, IU , 150,,Vitamin D
67448p4,, IU , 4.0,,Vitamin E
67448p4,, mcg , 12,,Vitamin K
67448p4,, mcg , 250,,Thiamin (Vitamin B1)
67448p4,, mcg , 620,,Riboflavin (Vitamin B2)
67448p4,, mcg , 250,,Vitamin B6
67448p4,, mcg , 0.55,,Vitamin B12
67448p4,, mcg , 5000,,Niacin
67448p4,, mcg , 37,,Folic Acid (Folacin)
67448p4,, mcg , 1900,,Pantothenic Acid
67448p4,, mcg , 37,,Biotin
67448p4,, mg , 37,,Vitamin C (Ascorbic Acid)
67448p4,, mg , 10,,Choline
67448p4,, mg , 40,,Inositol
67448,, IU , 1250,,Vitamin A
67448,, IU , 150,,Vitamin D
67448,, IU , 4.0,,Vitamin E
67448,, mcg , 12,,Vitamin K
67448,, mcg , 250,,Thiamin (Vitamin B1)
67448,, mcg , 620,,Riboflavin (Vitamin B2)
67448,, mcg , 250,,Vitamin B6
67448,, mcg , 0.55,,Vitamin B12
67448,, mcg , 5000,,Niacin
67448,, mcg , 37,,Folic Acid (Folacin)
67448,, mcg , 1900,,Pantothenic Acid
67448,, mcg , 37,,Biotin
67448,, mg , 37,,Vitamin C (Ascorbic Acid)
67448,, mg , 10,,Choline
67448,, mg , 40,,Inositol
5372976e,, IU , 1.5,,Vitamin E
