,url,store,name,price,size_or_weight,availability,item_id,description,ingredients,allergin_info,serving_size_1,serving_size_2,serving_size_3,footnotes,nutrient_table_1,nutrient_table_2,nutrient_table_3,vitamin_table_1,vitamin_table_2,vitamin_table_3,mineral_table_1,mineral_table_2,mineral_table_3,Sizes,Form,Flavours,Case of X,Case of Y,clinical_indications,benefits,feature_table_rows,usage,entry_date,
0,https://abbottstore.com/similac-pro-advance-infant-formula-powder-30-8-oz-66439e.html,Abbott,Similac Pro-Advance Infant Formula Powder,41.49,30.8 oz can,IN STOCK, 66439e,"Similac Pro-Advance is the first infant formula with 2-FL Human Milk Oligosaccharide* (HMO), designed to be closer than ever to breast milk.
 Similac with 2'-FL HMO helps support babys developing immune system by closing multiple gaps in immune function between formula-fed and breastfed infants
 Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
 All ingredients are carefully selected to meet our high standards and are NON-GMO
 From Birth  12 months; complete nutrition for your babys first year
 Features OptiGRO, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
As measured in blood samples in a clinical study
Ingredients not genetically engineered","Nonfat Milk, Lactose, High Oleic Safflower Oil, Whey Protein Concentrate, Soy Oil, Coconut Oil. Less than 2% of: C. Cohnii Oil, M. Alpina Oil, 2'-Fucosyllactose, Short-chain Fructooligosaccharides, Beta-Carotene, Lutein, Potassium Citrate, Calcium Carbonate, Ascorbic Acid, Soy Lecithin, Potassium Chloride, Magnesium Chloride, Ferrous Sulfate, Choline Bitartrate, Choline Chloride, Ascorbyl Palmitate, Salt, Taurine, Inositol, Zinc Sulfate, Mixed Tocopherols, d-Alpha-Tocopheryl Acetate, Niacinamide, Calcium Pantothenate, L-Carnitine, Vitamin A Palmitate, Copper Sulfate, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Vitamin B12, Calcium Phosphate, Potassium Phosphate, Potassium Iodide, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,"Serving Size: 100 Cal (5 fl oz, prepared as directed)",,,"Serving Size: 1000 mL (1.1 QT, prepared as directed)",,,,,,,,,,,powder,,SELECT 4 CANS,SELECT 2 CANS,,,,,6/05/2020 12:54,
0,https://abbottstore.com/similac-pro-sensitive-infant-formula-powder-29-8-oz-can-case-of-4-66441.html,Abbott,Similac Pro-Sensitive Infant Formula Powder,165.99,"29.8 oz can
						 
						 
							/
						 
						 
							Case of 4",IN STOCK,66441,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2'-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found in breast milk.
 Similac with 2'-FL HMO helps support babys developing immune system by closing multiple gaps in immune function between formula-fed and breastfed infants
 Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
 All ingredients are carefully selected to meet our high standards and are Non-GMO**
 From Birth 12 months; Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
At significant levels
As measured in blood samples in a clinical study
**ingredients not genetically engineered","Corn Syrup, Milk Protein Isolate, High Oleic Safflower Oil, Sugar, Soy Oil, Coconut Oil. Less than 2% of: C. Cohnii Oil, M. Alpina Oil, 2'-Fucosyllactose, Fructooligosaccharides, Beta-Carotene, Lutein, Lycopene, Potassium Chloride, Sodium Citrate, Calcium Phosphate, Potassium Citrate, Magnesium Phosphate, Ascorbic Acid, Choline Chloride, Ascorbyl Palmitate, Ferrous Sulfate, Choline Bitartrate, Taurine, m-Inositol, Magnesium Chloride, Zinc Sulfate, Calcium Carbonate, L-Carnitine, Mixed Tocopherols, Niacinamide, d-Alpha-Tocopheryl Acetate, Calcium Pantothenate, Vitamin A Palmitate, Copper Sulfate, Thiamine Chloride Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Potassium Iodide, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Vitamin B12, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk ingredients.,"Serving Size: 100 Cal (5.3 fl oz, prepared as directed)",,,"Serving Size: 1000 mL (1.1 QT, prepared as directed)",,,,,,,,,,Case of 4,powder,,,,,,,,6/05/2020 12:54,
0,https://abbottstore.com/advancepowder-30-8ozcan-58585e.html,Abbott,Similac Advance Infant Formula Powder,36.49,30.8 oz can,IN STOCK, 58585e,"Similac Advance is designed to support your babys developing brain, eyes, immune system and to help build strong bones.
 From Birth - 12 months
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA Lutein, and Vitamin E","Nonfat Milk, Lactose, Whey Protein Concentrate, High Oleic Safflower Oil, Soy Oil, Coconut Oil, Galactooligosaccharides. Less than 2% of: C. Cohnii Oil, M. Alpina Oil, Beta-Carotene, Lutein, Lycopene, Potassium Citrate, Calcium Carbonate, Ascorbic Acid, Soy Lecithin, Potassium Chloride, Magnesium Chloride, Ferrous Sulfate, Choline Bitartrate, Choline Chloride, Ascorbyl Palmitate, Salt, Taurine, m-Inositol, Zinc Sulfate, Mixed Tocopherols, d-Alpha-Tocopheryl Acetate, Niacinamide, Calcium Pantothenate, L-Carnitine, Vitamin A Palmitate, Cupric Sulfate, Thiamine Chloride Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Cyanocobalamin, Calcium Phosphate, Potassium Phosphate, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,"Serving Size: 100 Cal (5.3 fl oz, prepared as directed)",,,"Serving Size: 1000 mL (1.1 QT, prepared as directed)",,,,,,,,,,,Powder,,SELECT 4 CANS,SELECT 2 CANS,,,,,6/05/2020 12:54,Infant Formula with Iron
0,https://abbottstore.com/similac-pro-advance-infant-formula-ready-to-feed-2-fl-oz-bottle-case-of-48-67436.html,Abbott,Similac Pro-Advance Infant Formula Ready-to-Feed,57.96,"2 fl oz bottle
						 
						 
							/
						 
						 
							Case of 48",IN STOCK,67436,"Similac Pro-Advance is the first infant formula with 2-FL Human Milk Oligosaccharide*, designed to be closer than ever to breast milk.
 Similac with 2-FL Human Milk Oligosaccharide helps support babys developing immune system by closing multiple gaps in immune function between formula-fed and breastfed infants
 Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
 All ingredients are carefully selected to meet our high standards and are NON-GMO
 From Birth - 12 months; complete nutrition for your babys first year
 Features OptiGRO, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk
*Not from human milk
As measured in blood samples in a clinical study
Ingredients not genetically engineered","Water, Nonfat Milk, Lactose, High Oleic Safflower Oil, Soy Oil, Coconut Oil, Whey Protein Concentrate. Less than 0.5% of: C. Cohnii Oil, M. Alpina Oil, 2'-Fucosyllactose, Short-chain Fructooligosaccharides, Beta-Carotene, Lutein, Ascorbic Acid, Soy Lecithin, Monoglycerides, Potassium Citrate, Calcium Carbonate, Potassium Chloride, Carrageenan, Ferrous Sulfate, Magnesium Chloride, Choline Chloride, Choline Bitartrate, Taurine, Inositol, Calcium Phosphate, Zinc Sulfate, Potassium Phosphate, d-Alpha-Tocopheryl Acetate, Niacinamide, Calcium Pantothenate, L-Carnitine, Vitamin A Palmitate, Copper Sulfate, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Vitamin B12, Salt, Potassium Iodide, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,Serving Size: 100 Cal (5 fl oz),,,Serving Size: 1000 mL (1.1 QT),,,,,,,,,,Case of 48,Ready-to-Feed,,,,,,,,6/05/2020 12:54,Infant Formula with Iron
0,https://abbottstore.com/similac-advance-infant-formula-powder-1-45-lb-container-53359e.html,Abbott,Similac Advance Infant Formula Powder,29.49,1.45 lb container,IN STOCK, 53359e,"Similac Advance is designed to support your babys developing brain, eyes, immune system and to help build strong bones.
 From Birth - 12 months.
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of DHA, Lutein, and Vitamin E","Nonfat Milk, Lactose, Whey Protein Concentrate, High Oleic Safflower Oil, Soy Oil, Coconut Oil, Galactooligosaccharides. Less than 2% of: C. Cohnii Oil, M. Alpina Oil, Beta-Carotene, Lutein, Lycopene, Potassium Citrate, Calcium Carbonate, Ascorbic Acid, Soy Lecithin, Potassium Chloride, Magnesium Chloride, Ferrous Sulfate, Choline Bitartrate, Choline Chloride, Ascorbyl Palmitate, Salt, Taurine, m-Inositol, Zinc Sulfate, Mixed Tocopherols, d-Alpha-Tocopheryl Acetate, Niacinamide, Calcium Pantothenate, L-Carnitine, Vitamin A Palmitate, Cupric Sulfate, Thiamine Chloride Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Cyanocobalamin, Calcium Phosphate, Potassium Phosphate, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,"Serving Size: 100 Cal (5.3 fl oz, prepared as directed)",,,"Serving Size: 1000 mL (1.1 QT, prepared as directed)",,,,,,,,,,,Powder,,,,,,,,6/05/2020 12:54,Infant Formula with Iron
0,https://abbottstore.com/pro-sensitive-infant-formula-ready-to-feed-2-fl-oz-bottle-case-of-48-67438.html,Abbott,Similac Pro-Sensitive Infant Formula Ready-to-Feed,57.96,"2 fl oz bottle
						 
						 
							/
						 
						 
							Case of 48",IN STOCK,67438,"Similac Pro-Sensitive is the first infant formula for sensitive tummies with 2-FL Human Milk Oligosaccharide* (HMO), an immune nourishing prebiotic previously only found in breast milk.
 Similac with 2-FL Human Milk Oligosaccharide helps support babys developing immune system by closing multiple gaps in immune function between formula-fed and breastfed infants.
 Unlike other formulas, Similac has 2-FL HMO, a prebiotic that circulates throughout the body
 All ingredients are carefully selected to meet our high standards and are Non-GMO
 From Birth  12 months; Complete nutrition for your babys first year
 Features OptiGRO, an exclusive blend of DHA, Lutein, and Vitamin E - important ingredients found in breast milk

*Not from human milk
At significant levels
As measured in blood samples in a clinical study
Ingredients not genetically engineered


SKU 67438",,,,,,,,,,,,,,,,Case of 48,Ready-to-Feed,,,,,,,,6/05/2020 12:54,Infant Formula with Iron
0,https://abbottstore.com/alimentum-ready-to-feed-2-fl-oz-bottle-case-of-48-59738.html,Abbott,Similac Alimentum Infant Formula Ready-to-Feed,52.99,"2 fl oz bottle
						 
						 
							/
						 
						 
							Case of 48",IN STOCK,59738,"A nutritionally complete, hypoallergenic formula for infants, including those with colic symptoms due to protein sensitivity. Similac Alimentum starts reducing colic symptoms due to protein sensitivity within 24 hours in most infants.*
*Based on a clinical study with Similac Alimentum Ready to Feed without DHA and ARA in a small group of infants experiencing colic symptoms due to cows milk protein sensitivity. Data on File, Study AC84, August 2004. Abbott Nutrition, Columbus, Ohio.","Water (87%), Sugar (4%), Casein Hydrolysate [Derived from Milk] (2%), Modified Tapioca Starch (2%), Safflower Oil (1%), Medium Chain Triglycerides (1%), Soy Oil (1%). Less than 0.5% of: C. Cohnii Oil, M. Alpina Oil, Calcium Citrate, Calcium Phosphate, Carrageenan, Ascorbic Acid, Potassium Phosphate, Magnesium Chloride, Potassium Citrate, Salt, Calcium Hydroxide, Potassium Hydroxide, L-Cystine Dihydrochloride, Potassium Chloride, L-Tyrosine, L-Tryptophan, Choline Chloride, Ferrous Sulfate, Taurine, m-Inositol, dl-Alpha-Tocopheryl Acetate, Zinc Sulfate, L-Carnitine, Niacinamide, Calcium Pantothenate, Vitamin A Palmitate, Copper Sulfate, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Potassium Iodide, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, and Vitamin B12.",Serving Size: 100 Cal (5 fl oz),Serving Size: 1000 mL (1 L),,,,,,,,,,,,,Case of 48,Ready-to-Feed,,,,,,,,6/05/2020 12:54,Infant Formula
0,https://abbottstore.com/similac-neosure-infant-formula-powder-22-8-oz-can-66923e.html,Abbott,Similac NeoSure Infant Formula Powder,33.5,22.8 oz can,IN STOCK, 66923e,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely. Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for babys growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.","Nonfat Milk, Corn Syrup Solids, Lactose, Soy Oil, High Oleic Safflower Oil, Whey Protein Concentrate, Medium chain Triglycerides, Coconut Oil. Less than 2% of: C. Cohnii Oil, M. Alpina Oil, Beta-Carotene, Lutein, Potassium Citrate, Calcium Phosphate, Inositol, Ascorbic Acid, Magnesium Chloride, Soy Lecithin, Calcium Carbonate, Taurine, Ferrous Sulfate, Choline Bitartrate, Choline Chloride, Ascorbyl Palmitate, L-Carnitine, Potassium Chloride, Salt, Zinc Sulfate, Mixed Tocopherols, d-Alpha-Tocopheryl Acetate, Sodium Citrate, Niacinamide, Potassium Phosphate, Calcium Pantothenate, Copper Sulfate, Vitamin A Palmitate, Thiamine Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Vitamin B12, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,"Serving Size: 100 Cal (4.5 fl oz, prepared as directed)",,,"Serving Size: 1000 mL (1.1 QT, prepared as directed)",,,,,,,,,,,Powder,,,,,,,,6/05/2020 12:54,Infant Formula with Iron
0,https://abbottstore.com/similac-neosure-ready-to-feed-2-fl-oz-bottle-case-of-48-67442.html,Abbott,Similac NeoSure Infant Formula Ready-to-Feed,64.44,"2 fl oz bottle
						 
						 
							/
						 
						 
							Case of 48",IN STOCK,67442,"A 22 Cal/fl oz, nutrient-enriched* formula for babies who were born prematurely. Similac NeoSure is clinically shown to promote excellent catch-up growth during the first year.1

Has increased protein, vitamins, and minerals compared to term infant formula
Has increased calories for growth
Calcium and phosphorus for babys growing bones
Features OptiGRO, our exclusive blend of important ingredients found in breast milk: DHA, Lutein, and Vitamin E
Easy-to-digest, milk-based formula

* Increased protein, vitamins, and minerals compared to term infant formula.
1 Carver JD, et al. Pediatrics. 2001;107:683-689.

SKU # 67442","Water, Nonfat Milk, Corn Syrup Solids, Soy Oil, Lactose, Coconut Oil, Whey Protein Concentrate, Medium chain Triglycerides. Less than 0.5% of: C. Cohnii Oil, M. Alpina Oil, Beta-Carotene, Lutein, Potassium Citrate, Calcium Carbonate, Soy Lecithin, Monoglycerides, m-Inositol, Ascorbic Acid, Magnesium Chloride, Calcium Phosphate, Carrageenan, Taurine, Choline Chloride, Ferrous Sulfate, Choline Bitartrate, L-Carnitine, Potassium Chloride, d-Alpha-Tocopheryl Acetate, Zinc Sulfate, Niacinamide, Potassium Phosphate, Calcium Pantothenate, Salt, Cupric Sulfate, Vitamin A Palmitate, Thiamine Chloride Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Cyanocobalamin, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,Serving Size: 100 Cal (4.5 fl oz),,,Serving Size: 1000 mL (1.1 QT),,,,,,,,,,Case of 48,Ready-to-Feed,,,,,,,,6/05/2020 12:54,Infant Formula With Iron
0,https://abbottstore.com/similac-for-supplementation-infant-formula-ready-to-feed-2-fl-oz-bottle-case-of-48-67440.html,Abbott,Similac For Supplementation Infant Formula Ready-to-Feed,65.88,"2 fl oz bottle
						 
						 
							/
						 
						 
							Case of 48",IN STOCK,67440,"Similac for Supplementation formula for breastfeeding moms who choose to introduce formula. Anutritionally complete, milk-based, iron-fortified, non-GMO*formula.
 Helps provide a gentle introduction to formula
 Complete nutrition for your babys first year
 Features OptiGRO, our exclusive blend of important ingredients found in breast milk: DHA, lutein, and vitamin E

* ingredients not genetically engineered","Water, Nonfat Milk, Lactose, High Oleic Safflower Oil, Soy Oil, Galactooligosaccharides, Coconut Oil, Whey Protein Concentrate. Less than 0.5% of: C. Cohnii Oil, M. Alpina Oil, Beta-Carotene, Lutein, Lycopene, Ascorbic Acid, Soy Lecithin, Monoglycerides, Potassium Citrate, Calcium Carbonate, Potassium Chloride, Carrageenan, Ferrous Sulfate, Magnesium Chloride, Choline Chloride, Choline Bitartrate, Taurine, m-Inositol, Calcium Phosphate, Zinc Sulfate, Potassium Phosphate, d-Alpha-Tocopheryl Acetate, Niacinamide, Calcium Pantothenate, L-Carnitine, Vitamin A Palmitate, Cupric Sulfate, Thiamine Chloride Hydrochloride, Riboflavin, Pyridoxine Hydrochloride, Folic Acid, Manganese Sulfate, Phylloquinone, Biotin, Sodium Selenate, Vitamin D3, Cyanocobalamin, Salt, Potassium Hydroxide, and Nucleotides (Adenosine 5’-Monophosphate, Cytidine 5’-Monophosphate, Disodium Guanosine 5’-Monophosphate, Disodium Uridine 5’-Monophosphate).",Contains milk and soy ingredients.,Serving Size: 100 Cal (5.3 fl oz),,,Serving Size: 1000 mL (1.1 QT),,,,,,,,,,Case of 48,Ready-to-Feed,,,,,,,,6/05/2020 12:54,Infant Formula with Iron
