,item_type,Flavours
3475,SKU#:00079,nan
973,SKU#:00079p50,nan
1613,SKU#:00094,nan
2521,SKU#:00180,nan
1755,SKU#:00240,Bubble Gum
3918,SKU#:00240,None
210,SKU#:00240,Grape
828,SKU#:00240,Strawberry
1137,SKU#:00240,Mixed Fruit
1446,SKU#:00240,Coconut Burst
519,SKU#:00240,Unflavored
2091,SKU#:00240e,None
546,SKU#:00240e,Strawberry
1473,SKU#:00240e,Coconut Burst
855,SKU#:00240e,Unflavored
237,SKU#:00240e,Grape
1164,SKU#:00240e,Mixed Fruit
1782,SKU#:00240e,Bubble Gum
208,SKU#:00336,Unflavored
3607,SKU#:00336,None
1135,SKU#:00336,Mixed Fruit
826,SKU#:00336,Grape
1444,SKU#:00336,Coconut Burst
517,SKU#:00336,Strawberry
1753,SKU#:00336,Bubble Gum
545,SKU#:00336e,Mixed Fruit
1781,SKU#:00336e,Bubble Gum
854,SKU#:00336e,Coconut Burst
1472,SKU#:00336e,Grape
3944,SKU#:00336e,None
236,SKU#:00336e,Unflavored
1163,SKU#:00336e,Strawberry
2055,SKU#:00365,None
510,SKU#:00365,Unflavored
1746,SKU#:00365,Bubble Gum
819,SKU#:00365,Strawberry
201,SKU#:00365,Mixed Fruit
1437,SKU#:00365,Coconut Burst
1128,SKU#:00365,Grape
3328,SKU#:00365e,None
238,SKU#:00365e,Mixed Fruit
1165,SKU#:00365e,Strawberry
1783,SKU#:00365e,Bubble Gum
1474,SKU#:00365e,Grape
856,SKU#:00365e,Unflavored
547,SKU#:00365e,Coconut Burst
1341,SKU#:00750,None
105,SKU#:00750,Vanilla
1380,SKU#:00750e,None
144,SKU#:00750e,Vanilla
1000,SKU#:00850,nan
2210,SKU#:00850e,nan
3890,SKU#:1300170,nan
1107,SKU#:1400204,nan
2971,SKU#:21372,nan
3273,SKU#:213732,nan
2658,SKU#:22309p100,nan
2958,SKU#:22309p6,nan
2965,SKU#:25189,nan
689,SKU#:50512,nan
3154,SKU#:5081776,nan
3746,SKU#:5081776e,nan
53,SKU#:5081978,nan
3440,SKU#:5081978e,nan
2569,SKU#:5082178,nan
1287,SKU#:5082178e,nan
390,SKU#:5095976,nan
35,SKU#:51002,nan
408,SKU#:51004,nan
3614,SKU#:51752,None
1451,SKU#:51752,Unflavored
833,SKU#:51752,Grape
1760,SKU#:51752,Coconut Burst
524,SKU#:51752,Strawberry
215,SKU#:51752,Bubble Gum
1142,SKU#:51752,Mixed Fruit
3941,SKU#:51752e,None
1160,SKU#:51752e,Unflavored
851,SKU#:51752e,Strawberry
542,SKU#:51752e,Grape
1778,SKU#:51752e,Coconut Burst
1469,SKU#:51752e,Mixed Fruit
233,SKU#:51752e,Bubble Gum
702,SKU#:51950,nan
2568,SKU#:53359,nan
