,item_type,ingredient
3332,SKU#:00240,Blue 1
1772,SKU#:00240,Sodium Citrate
2708,SKU#:00240,Zinc Gluconate
2396,SKU#:00240,Acesulfame Potassium
212,SKU#:00240,Water
2084,SKU#:00240,Sucralose
524,SKU#:00240,Dextrose Less than 2% of: Citric Acid
1148,SKU#:00240,Salt
3020,SKU#:00240,Red 40
836,SKU#:00240,Potassium Citrate
1460,SKU#:00240,Natural & Artificial Flavor
1800,SKU#:00240e,Sodium Citrate
2736,SKU#:00240e,Zinc Gluconate
240,SKU#:00240e,Water
1488,SKU#:00240e,Natural & Artificial Flavor
2112,SKU#:00240e,Sucralose
2424,SKU#:00240e,Acesulfame Potassium
1176,SKU#:00240e,Salt
552,SKU#:00240e,Dextrose Less than 2% of: Citric Acid
3048,SKU#:00240e,Red 40
864,SKU#:00240e,Potassium Citrate
3360,SKU#:00240e,Blue 1
525,SKU#:00336,Dextrose Less than 2% of: Potassium Citrate
1773,SKU#:00336,Zinc Gluconate
837,SKU#:00336,Salt
1149,SKU#:00336,Sodium Citrate
213,SKU#:00336,Water
1461,SKU#:00336,Citric Acid
238,SKU#:00336e,Water
862,SKU#:00336e,Salt
1798,SKU#:00336e,Zinc Gluconate
1486,SKU#:00336e,Citric Acid
550,SKU#:00336e,Dextrose Less than 2% of: Potassium Citrate
1174,SKU#:00336e,Sodium Citrate
2074,SKU#:00365,Sucralose
1762,SKU#:00365,Sodium Citrate
514,SKU#:00365,Dextrose Less than 2% of: Citric Acid
2386,SKU#:00365,Acesulfame Potassium
1138,SKU#:00365,Potassium Citrate
3010,SKU#:00365,Yellow 6
202,SKU#:00365,Water
1450,SKU#:00365,Salt
2698,SKU#:00365,Zinc Gluconate
826,SKU#:00365,Natural & Artificial Flavor
3049,SKU#:00365e,Yellow 6
2425,SKU#:00365e,Acesulfame Potassium
865,SKU#:00365e,Natural & Artificial Flavor
1489,SKU#:00365e,Salt
553,SKU#:00365e,Dextrose Less than 2% of: Citric Acid
2113,SKU#:00365e,Sucralose
2737,SKU#:00365e,Zinc Gluconate
1177,SKU#:00365e,Potassium Citrate
241,SKU#:00365e,Water
1801,SKU#:00365e,Sodium Citrate
5098,SKU#:00750,Niacinamide
6034,SKU#:00750,Manganese Sulfate
5410,SKU#:00750,Ferrous Sulfate
106,SKU#:00750,Corn Syrup
1666,SKU#:00750,Soy Protein Isolate
418,SKU#:00750,Corn Maltodextrin
6970,SKU#:00750,Pyridoxine Hydrochloride
4162,SKU#:00750,Choline Chloride
9466,SKU#:00750,Sodium Selenate
1978,SKU#:00750,Artificial Flavor
6346,SKU#:00750,Cupric Sulfate
7906,SKU#:00750,Folic Acid
6658,SKU#:00750,Thiamine Chloride Hydrochloride
2602,SKU#:00750,Magnesium Chloride
3226,SKU#:00750,Sodium Citrate Less than 05% of: Potassium Chloride
2290,SKU#:00750,Potassium Citrate
8842,SKU#:00750,Sodium Molybdate
7594,SKU#:00750,Vitamin A Palmitate
1354,SKU#:00750,Sodium & Calcium Caseinates
4474,SKU#:00750,dl-Alpha-Tocopheryl Acetate
1042,SKU#:00750,Corn Oil
10090,SKU#:00750,Vitamin D3
8530,SKU#:00750,Chromium Chloride
3850,SKU#:00750,Ascorbic Acid
730,SKU#:00750,Sugar
9778,SKU#:00750,Phylloquinone
10402,SKU#:00750,Cyanocobalamin
2914,SKU#:00750,Calcium Phosphate
9154,SKU#:00750,Potassium Iodide
3538,SKU#:00750,Soy Lecithin
7282,SKU#:00750,Riboflavin
8218,SKU#:00750,Biotin
4786,SKU#:00750,Zinc Sulfate
5722,SKU#:00750,Calcium Pantothenate
