,Unnamed: 0,Amount per serving,% Daily Value*
0,"Calcium, mg : 180",180.0,
1,"Calcium, mEq : 9.0",9.0,
2,"Phosphorus, mg : 100",100.0,
3,"Magnesium, mg : 12",12.0,
4,"Iron, mg : 1.8",1.8,
5,"Zinc, mg : 1.5",1.5,
6,"Manganese, mcg : 12",12.0,
7,"Copper, mcg : 250",250.0,
8,"Iodine, mcg : 6",6.0,
9,"Selenium, mcg : 2",2.0,
10,"Sodium, mg : 43",43.0,
11,"Sodium, mEq : 1.9",1.9,
12,"Potassium, mg : 129",129.0,
13,"Potassium, mEq : 3.3",3.3,
14,"Chloride, mg : 81",81.0,
15,"Chloride, mEq : 2.3",2.3,
