,Unnamed: 0,Amount per serving,% Daily Value*
0,"Calcium, mg : 29",29,
1,"Calcium, mEq : 1.46",1.46,
2,"Phosphorus, mg : 16",16,
3,"Magnesium, mg : 1.7",1.7,
4,"Iron, mg : 0.08<sup>*</sup>",0.08*,
5,"Zinc, mg : 0.25",0.25,
6,"Manganese, mcg : 1.8",1.8,
7,"Copper, mcg : 43",43,
8,"Iodine, mcg : 0.8",0.8,
9,"Selenium, mcg : 0.1",0.1,
10,"Sodium, mg : 4",4,
11,"Sodium, mEq : 0.16",0.16,
12,"Potassium, mg : 16",16,
13,"Potassium, mEq : 0.40",0.40,
14,"Chloride, mg : 9",9,
15,"Chloride, mEq : 0.27",0.27,
