,Unnamed: 0,Amount per serving,% Daily Value*
0,"Calcium, mg : 105",105.0,
1,"Calcium, mEq : 5.2",5.2,
2,"Phosphorus, mg : 62",62.0,
3,"Magnesium, mg : 9",9.0,
4,"Iron, mg : 1.8",1.8,
5,"Zinc, mg : 1.2",1.2,
6,"Manganese, mcg : 10",10.0,
7,"Copper, mcg : 120",120.0,
8,"Iodine, mcg : 15",15.0,
9,"Selenium, mcg : 2.3",2.3,
10,"Sodium, mg : 33",33.0,
11,"Sodium, mEq : 1.4",1.4,
12,"Potassium, mg : 142",142.0,
13,"Potassium, mEq : 3.6",3.6,
14,"Chloride, mg : 75",75.0,
15,"Chloride, mEq : 2.1",2.1,
