,Unnamed: 0,Amount per serving,% Daily Value*
0,Calories : 330,330.0,
1,Calories from Fat : 80,80.0,
2,"Total Fat, g : 9",9.0,14.0
3,"Saturated Fat, g : 3",3.0,15.0
4,"Trans Fat, g : 0",0.0,
5,"Polyunsaturated Fat, g : 2.5",2.5,
6,"Monounsaturated Fat, g : 2.5",2.5,
7,"Cholesterol, mg : 15",15.0,5.0
8,"Sodium, mg : 220",220.0,9.0
9,"Potassium, mg : 370",370.0,11.0
10,"Total Carbohydrate, g : 45",45.0,15.0
11,"Dietary Fiber, g : 3",3.0,12.0
12,"Sugars, g : 19",19.0,
13,"Protein, g : 18",18.0,36.0
