,Unnamed: 0,Amount per serving,% Daily Value*
0,"Protein, g : 7",7,
1,"Fat, g : 5",5,
2,"Saturated Fat, g : 1",1,
3,"Trans Fat, g : 0",0,
4,"Polyunsaturated Fat, g : 3",3,
5,"Monounsaturated Fat, g : 1",1,
6,"Cholesterol, mg : <5",<5,
7,"Carbohydrate, g : 21",21,
8,"Dietary Fiber, g : 3<sup>*</sup>",3*,
9,"Total Sugars, g : 17",17,
10,"Added Sugars, g : 17",17,
11,"L-Carnitine, mg : 4.0",4.0,
12,"Taurine, mg : 18",18,
13,"Water, g : 211",211,
14,Calories : 150,150,
15,Calories from Fat : 45,45,
