,Unnamed: 0,Amount per serving,% Daily Value*
0,"Protein, g : 14",14.0,
1,"Fat, g : 16",16.0,
2,"Saturated Fat, g : 3.5",3.5,
3,"Trans Fat, g : 0",0.0,
4,"Polyunsaturated Fat, g : 5",5.0,
5,"Monounsaturated Fat, g : 7",7.0,
6,"Cholesterol, mg : 10",10.0,
7,"Carbohydrate, g : 39",39.0,
8,"Dietary Fiber, g : 3",3.0,
9,"scFOS®, g : 1.7",1.7,
10,"Total Sugars, g : 3",3.0,
11,"Added Sugars, g : 3",3.0,
12,"L-Carnitine, mg : 4.0",4.0,
13,"Taurine, mg : 18",18.0,
14,"Water, g : 185",185.0,
15,Calories : 350,350.0,
