,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin E, IU : 1.5",1.5,
1,"Vitamin K, mcg : 11",11.0,
2,"Thiamin (Vitamin B1), mcg : 63",63.0,
3,"Riboflavin (Vitamin B2), mcg : 95",95.0,
4,"Vitamin B6, mcg : 63",63.0,
5,"Vitamin B12, mcg : 0.47",0.47,
6,"Niacin, mcg : 1400",1400.0,
7,"Folic Acid (Folacin), mcg : 16",16.0,
8,"Pantothenic Acid, mcg : 780",780.0,
9,"Biotin, mcg : 4.7",4.7,
10,"Vitamin C (Ascorbic Acid), mg : 9",9.0,
11,"Choline, mg : 24",24.0,
12,"Inositol, mg : 5",5.0,
13,"Vitamin A, IU : 300",300.0,
14,"Vitamin D, IU : 60",60.0,
