,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin A, mcg RAE : 180",180.0,
1,"Vitamin D, mcg : 5",5.0,
2,"Vitamin E, mg : 6.8",6.8,
3,"Vitamin K, mcg : 19",19.0,
4,"Vitamin C, mg : 23",23.0,
5,"Folate, mcg DFE : 300",300.0,
6,"Folic Acid, mcg : 180",180.0,
7,"Thiamin (Vitamin B1), mg : 0.6",0.6,
8,"Riboflavin (Vitamin B2), mg : 0.5",0.5,
9,"Vitamin B6, mg : 2.21",2.21,
10,"Vitamin B12, mcg : 1.2",1.2,
11,"Niacin, mg : 8",8.0,
12,"Choline, mg : 140",140.0,
13,"Biotin, mcg : 15",15.0,
14,"Pantothenic Acid, mg : 2.25",2.25,
