Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin A, IU : 300",300.0,
"Vitamin D, IU : 60",60.0,
"Vitamin E, IU : 1.5",1.5,
"Vitamin K, mcg : 8",8.0,
"Thiamin (Vitamin B1), mcg : 100",100.0,
"Riboflavin (Vitamin B2), mcg : 150",150.0,
"Vitamin B6, mcg : 60",60.0,
"Vitamin B12, mcg : 0.3",0.3,
"Niacin, mcg : 1050",1050.0,
"Folic Acid (Folacin), mcg : 15",15.0,
"Pantothenic Acid, mcg : 450",450.0,
"Biotin, mcg : 5",5.0,
"Vitamin C (Ascorbic Acid), mg : 9",9.0,
"Choline, mg : 12",12.0,
"Inositol, mg : 24",24.0,
