Unnamed: 0,Amount per serving,% Daily Value*
"Vitamin E, IU : 3.6",3.6,
"Vitamin K, mcg : 11",11.0,
"Thiamin (Vitamin B1), mcg : 175",175.0,
"Riboflavin (Vitamin B2), mcg : 150",150.0,
"Vitamin B6, mcg : 100",100.0,
"Vitamin B12, mcg : 0.40",0.4,
"Niacin, mcg : 1950",1950.0,
"Folic Acid (Folacin), mcg : 25",25.0,
"Pantothenic Acid, mcg : 800",800.0,
"Biotin, mcg : 9",9.0,
"Vitamin C (Ascorbic Acid), mg : 15",15.0,
"Choline, mg : 16",16.0,
"Inositol, mg : 35",35.0,
"Vitamin A, IU : 350",350.0,
"Vitamin D, IU : 70",70.0,
