,Unnamed: 0,Amount per serving,% Daily Value*
0,"Vitamin D, IU : 45",45.0,
1,"Vitamin E, IU : 3.0",3.0,
2,"Vitamin K, mcg : 15",15.0,
3,"Thiamin (Vitamin B1), mcg : 60",60.0,
4,"Riboflavin, mcg : 90",90.0,
5,"Vitamin B6, mcg : 60",60.0,
6,"Vitamin B12, mcg : 0.45",0.45,
7,"Niacin, mcg : 1350",1350.0,
8,"Folic Acid (Folacin), mcg : 15",15.0,
9,"Pantothenic Acid, mcg : 750",750.0,
10,"Biotin, mcg : 4.5",4.5,
11,"Vitamin C (Ascorbic Acid), mg : 9.0",9.0,
12,"Choline, mg : 12",12.0,
13,"Inositol, mg : 5",5.0,
14,"Vitamin A, IU : 300",300.0,
