Unnamed: 0,Amount per serving,% Daily Value*
"m-Inositol, mg : 205",205,
"Vitamin A, IU : 2060<sup>†</sup>",2060†,
"Beta-Carotene, mg : 0.79",0.79,
"Vitamin D, IU : 102",102,
"Vitamin E, IU : 12",12,
"Vitamin K, mcg : 30",30,
"Vitamin C, mg : 78",78,
"Folic Acid, mcg : 95",95,
"Vitamin B1, mg : 0.36",0.36,
"Vitamin B2, mg : 0.41",0.41,
"Vitamin B6, mg : 0.48",0.48,
"Vitamin B12, mcg : 1.5",1.5,
"Niacin, mg : 4.8",4.8,
"Choline, mg : 131",131,
"Biotin, mcg : 75",75,
"Pantothenic Acid, mg : 2.4",2.4,
