item_id,flavour
00079,nan
00079p50,nan
00094,nan
00180,nan
00240,Bubble Gum
00240,Grape
00240,Coconut Burst
00240,None
00240,Strawberry
00240,Unflavored
00240,Mixed Fruit
00240e,Unflavored
00240e,None
00240e,Strawberry
00240e,Mixed Fruit
00240e,Grape
00240e,Coconut Burst
00240e,Bubble Gum
00336,Unflavored
00336,None
00336,Grape
00336,Mixed Fruit
00336,Bubble Gum
00336,Coconut Burst
00336,Strawberry
00336e,None
00336e,Grape
00336e,Mixed Fruit
00336e,Unflavored
00336e,Coconut Burst
00336e,Strawberry
00336e,Bubble Gum
00365,Bubble Gum
00365,None
00365,Mixed Fruit
00365,Strawberry
00365,Grape
00365,Coconut Burst
00365,Unflavored
00365e,Mixed Fruit
00365e,Unflavored
00365e,None
00365e,Bubble Gum
00365e,Grape
00365e,Coconut Burst
00365e,Strawberry
00750,nan
00750e,nan
00850e,nan
1300170,nan
1400204,nan
21372,nan
213732,nan
22309p100,nan
22309p6,nan
25189,nan
50512,nan
5081776,nan
5081776e,nan
5081978,nan
5081978e,nan
5082178,nan
5082178e,nan
5095976,nan
51002,nan
51004,nan
51752,None
51752,Coconut Burst
51752,Bubble Gum
51752,Unflavored
51752,Mixed Fruit
51752,Grape
51752,Strawberry
51752e,None
51752e,Bubble Gum
51752e,Unflavored
51752e,Strawberry
51752e,Grape
51752e,Mixed Fruit
51752e,Coconut Burst
51950,nan
51950p12,nan
53359,nan
53359e,nan
53363,nan
53557,nan
53560,nan
53568,nan
5367678,nan
5372976,nan
5372976e,nan
53806,Milk Chocolate
53806,Butter Pecan
53806,None
53806,Vanilla
53806,Dark Chocolate
53806,Strawberry
53806,Banana Nut
53806,Coffee Latte
53809,None
53809,Vanilla
53809,Strawberry
53809,Butter Pecan
53809,Milk Chocolate
53809,Dark Chocolate
53818,"""Smores"""
53818,Chocolate
53818,None
53818,Berry
53818,Vanilla
53818,Banana
53818,Strawberry
53894,nan
53894p50,nan
53983,Mixed Fruit
53983,None
53983,Unflavored
53983,Grape
53983,Bubble Gum
53983,Strawberry
53983,Coconut Burst
53983e,None
53983e,Grape
53983e,Strawberry
53983e,Unflavored
53983e,Bubble Gum
53983e,Mixed Fruit
53983e,Coconut Burst
54080,nan
54598,nan
54598p50,nan
54844,None
54844,Vanilla
54844,Milk Chocolate
54846,None
54846,Milk Chocolate
54846,Vanilla
5595776,nan
5596378,nan
56090,Variety - Strawberry
56090,Grape & Apple
56090,None
56090,Cherry
56090,Strawberry Lemonade
56090,Grape
56090,Variety - Cherry
56090,Orange & Grape
56090,Orange
56090,Fruit Punch
56090p8,Orange
56090p8,Grape
56090p8,Grape & Apple
56090p8,Cherry
56090p8,Fruit Punch
56090p8,Strawberry Lemonade
56090p8,Variety - Strawberry
56090p8,None
56090p8,Variety - Cherry
56090p8,Orange & Grape
56265,nan
56271,nan
56308,nan
56368,None
56368,Vanilla
56368,Strawberry
56500,None
56500,Mixed Fruit
56500,Blueberry Pomegranate
56525,nan
5697378,nan
5697578,nan
57231,Dark Chocolate
57231,None
57231,Butter Pecan
57231,Banana Nut
57231,Strawberry
57231,Coffee Latte
57231,Milk Chocolate
57231,Vanilla
57234,None
57234,Banana Nut
57234,Dark Chocolate
57234,Milk Chocolate
57234,Butter Pecan
57234,Strawberry
57234,Vanilla
57234,Coffee Latte
57237,None
57237,Vanilla
57237,Strawberry
57237,Butter Pecan
57237,Banana Nut
57237,Milk Chocolate
57237,Coffee Latte
57237,Dark Chocolate
57240,Coffee Latte
57240,Dark Chocolate
57240,None
57240,Vanilla
57240,Banana Nut
57240,Milk Chocolate
57240,Strawberry
57240,Butter Pecan
57243,None
57243,Butter Pecan
57243,Coffee Latte
57243,Vanilla
57243,Banana Nut
57243,Strawberry
57243,Dark Chocolate
57243,Milk Chocolate
57263,None
57263,Milk Chocolate
57263,Vanilla
57263,Strawberry
57263,Butter Pecan
57263,Dark Chocolate
57266,Strawberry
57266,None
57266,Butter Pecan
57266,Dark Chocolate
57266,Vanilla
57266,Milk Chocolate
57269,None
57269,Strawberry
57269,Dark Chocolate
57269,Milk Chocolate
57269,Vanilla
57269,Butter Pecan
57272,Butter Pecan
57272,None
57272,Strawberry
57272,Dark Chocolate
57272,Vanilla
57272,Milk Chocolate
5743076,nan
5743076e,nan
5745578,nan
57508,nan
57512,nan
5753378,nan
5753578,nan
5753978,nan
57801,Rich Chocolate
57801,None
57801,Chocolate Caramel
57801,Classic Butter Pecan
57801,Creamy Strawberry
57801,Homemade Vanilla
57804,Homemade Vanilla
57804,None
57804,Rich Chocolate
57804,Chocolate Caramel
57804,Creamy Strawberry
57804,Classic Butter Pecan
57807,Homemade Vanilla
57807,None
57807,Classic Butter Pecan
