,item_id,ingredient
5211, 00240e,Zinc Gluconate
5833, 00240e,Red 40
1479, 00240e,Potassium Citrate
3967, 00240e,Sucralose
3345, 00240e,Sodium Citrate
857, 00240e,Dextrose Less than 2% of: Citric Acid
2101, 00240e,Salt
235, 00240e,Water
6455, 00240e,Blue 1
2723, 00240e,Natural & Artificial Flavor
4589, 00240e,Acesulfame Potassium
3347, 00336e,Zinc Gluconate
859, 00336e,Dextrose Less than 2% of: Potassium Citrate
237, 00336e,Water
2725, 00336e,Citric Acid
2103, 00336e,Sodium Citrate
1481, 00336e,Salt
238, 00365e,Water
2104, 00365e,Potassium Citrate
5214, 00365e,Zinc Gluconate
2726, 00365e,Salt
5836, 00365e,Yellow 6
860, 00365e,Dextrose Less than 2% of: Citric Acid
3348, 00365e,Sodium Citrate
4592, 00365e,Acesulfame Potassium
3970, 00365e,Sucralose
1482, 00365e,Natural & Artificial Flavor
18803, 00750e,Sodium Selenate
5119, 00750e,Magnesium Chloride
143, 00750e,Corn Syrup
20669, 00750e,Cyanocobalamin
1387, 00750e,Sugar
10717, 00750e,Ferrous Sulfate
4497, 00750e,Potassium Citrate
20047, 00750e,Vitamin D3
19425, 00750e,Phylloquinone
18181, 00750e,Potassium Iodide
9473, 00750e,Zinc Sulfate
17559, 00750e,Sodium Molybdate
11961, 00750e,Manganese Sulfate
12583, 00750e,Cupric Sulfate
13205, 00750e,Thiamine Chloride Hydrochloride
8229, 00750e,Choline Chloride
13827, 00750e,Pyridoxine Hydrochloride
7607, 00750e,Ascorbic Acid
14449, 00750e,Riboflavin
5741, 00750e,Calcium Phosphate
15071, 00750e,Vitamin A Palmitate
765, 00750e,Corn Maltodextrin
15693, 00750e,Folic Acid
16315, 00750e,Biotin
6363, 00750e,Sodium Citrate Less than 05% of: Potassium Chloride
11339, 00750e,Calcium Pantothenate
16937, 00750e,Chromium Chloride
2009, 00750e,Corn Oil
6985, 00750e,Soy Lecithin
3875, 00750e,Artificial Flavor
8851, 00750e,dl-Alpha-Tocopheryl Acetate
2631, 00750e,Sodium & Calcium Caseinates
10095, 00750e,Niacinamide
3253, 00750e,Soy Protein Isolate
10003, 00850e,Ferrous Sulfate
4405, 00850e,Calcium Carbonate
14357, 00850e,Cupric Sulfate
7515, 00850e,Salt
51, 00850e,Lactose
19955, 00850e,Phylloquinone
1295, 00850e,Whey Protein Concentrate
11247, 00850e,Mixed Tocopherols
14979, 00850e,Vitamin A Palmitate
19333, 00850e,Potassium Iodide
6893, 00850e,m-Inositol
673, 00850e,High Oleic Safflower Oil
5027, 00850e,Ascorbic Acid
1917, 00850e,Soy Oil
15601, 00850e,Thiamine Chloride Hydrochloride
18711, 00850e,Manganese Sulfate
16223, 00850e,Riboflavin
18089, 00850e,Folic Acid
9381, 00850e,Ascorbyl Palmitate
23065, 00850e,Potassium Hydroxide
6271, 00850e,Potassium Chloride
5649, 00850e,Magnesium Chloride
3161, 00850e,Sodium Caseinate Less than 2% of: Potassium Citrate
17467, 00850e,Beta-Carotene
13735, 00850e,Calcium Pantothenate
10625, 00850e,Zinc Sulfate
16845, 00850e,Pyridoxine Hydrochloride
12491, 00850e,Niacinamide
3783, 00850e,Calcium Phosphate
13113, 00850e,d-Alpha-Tocopheryl Acetate
11869, 00850e,L-Carnitine
2539, 00850e,Coconut Oil
8137, 00850e,Choline Chloride
22443, 00850e,Cyanocobalamin
21821, 00850e,Vitamin D3
20577, 00850e,Biotin
8759, 00850e,Taurine
21199, 00850e,Sodium Selenate
15591, 5081776e,Zinc Sulfate
9371, 5081776e,Magnesium Phosphate
23677, 5081776e,Potassium Iodide
26165, 5081776e,Vitamin D3
26787, 5081776e,Cyanocobalamin
16213, 5081776e,L-Carnitine
18701, 5081776e,Calcium Pantothenate
29275, 5081776e,Disodium Guanosine 5’-Monophosphate
28031, 5081776e,Nucleotides (Adenosine 5’-Monophosphate
3773, 5081776e,Galactooligosaccharides Less than 2% of: C Cohnii Oil
18079, 5081776e,d-Alpha-Tocopheryl Acetate
2529, 5081776e,Soy Oil
8749, 5081776e,Sodium Citrate
5639, 5081776e,Lutein
9993, 5081776e,Ascorbic Acid
11237, 5081776e,Calcium Carbonate
41, 5081776e,Corn Syrup
6261, 5081776e,Lycopene
21811, 5081776e,Pyridoxine Hydrochloride
28653, 5081776e,Cytidine 5’-Monophosphate
16835, 5081776e,Mixed Tocopherols
17457, 5081776e,Niacinamide
