,url,category,sub_category,description,indications,ingredients
0,https://www.flavourcreations.com.au/products/dysphagia/accessories/Accessories/Dysphagia%20Cup%20Holder,Accessories,Dysphagia Cup Holder,"The Dysphagia Cup Holder enables independence and restores dignity. Specially designed to fit the award-winning Dysphagia Cup and easy to hold with large easy-grip handles, the Holder allows for complete autonomy for all users from children to older adults and people with arthritis, hand or finger injuries.", ,"The freight calculation for all orders under $220 (ex GST) is based on Base Rate plus (weight of order in KG * Rate per KG). If calculated rate is less than the minimum charge, the minimum charge will become the calculated rate. Freight will be calculated and shown during the Checkout process, based on the weight of your order and your delivery location. Please note we cannot deliver to a PO Box. All freight rates do not include GST. GST will be added at the Checkout. For all international orders, please contact Flavour Creations Customer Solutions on +61 (0)7 3373 3000 or sales@flavourcreations.com.au."
1,https://www.flavourcreations.com.au/products/dysphagia/accessories/IDDSI%20Stickers%20/Sticker%20RTD%20Lid%20,IDDSI Stickers,Sticker RTD Lid,No nutrition information available.,"The freight calculation for all orders under $220 (ex GST) is based on Base Rate plus (weight of order in KG * Rate per KG). If calculated rate is less than the minimum charge, the minimum charge will become the calculated rate. Freight will be calculated and shown during the Checkout process, based on the weight of your order and your delivery location. Please note we cannot deliver to a PO Box. All freight rates do not include GST. GST will be added at the Checkout. For all international orders, please contact Flavour Creations Customer Solutions on +61 (0)7 3373 3000 or sales@flavourcreations.com.au.",Flavour Creations is a fully HACCP certified facility and is authorised to produce:
2,https://www.flavourcreations.com.au/products/dysphagia/accessories/Packaging%20/Dysphagia%20Cup%20Lid,Packaging,Dysphagia Cup Lid,No nutrition information available.,Flavour Creations Range at a Glance,"Lost or Damaged Goods
If your order is lost or damaged in transit, please contact Flavour Creations Customer Solutions on +61 (0)7 3373 3000 or sales@flavourcreations.com.au within 7 working days of placing your order so that we may assist you."
3,https://www.flavourcreations.com.au/products/,not found,not found,"Completely free of artificial flavours and colours, the RTD range is now packaged in the new Dysphagia Cup. Each element of the Dysphagia Cup’s design has been carefully considered with the end user and their accessibility needs in mind. Features include a large easy-to-read foil label with external ribbing to assist with manual grip and an improved cup rim to minimise leakage of liquid due to poor lip control. ",Flavour Creations recommends dysphagia patients consult a speech pathologist for evaluation of any swallowing difficulties and recommendation of suitable products.,Flavour Creations is a fully HACCP certified facility and is authorised to produce:
4,https://www.flavourcreations.com.au/products/dysphagia,not found,not found,"Our Water range is distinctly softer, smoother and bursting with thirst-quenching flavour.","Providing all the benefits of milk, our Creamy range is simply sweet creamy comfort in a cup.","We offer a strong and expanding product portfolio, with excellent branding and positioning in the market. It’s rare to find an established company at the forefront of Australian manufacturing creating so many opportunities."
5,https://www.flavourcreations.com.au/products/dysphagia/accessories,not found,not found,Flavour Creations is a fully HACCP certified facility and is authorised to produce:,"
                Apply Now careers@flavourcreations.com.au
","



"
6,https://www.flavourcreations.com.au/products/dysphagia/-dry-mouth-spray,Osmist,Dry Mouth Spray,"Developed by a Speech Pathologist, Martha Rowe, Osmist is a refreshing and natural ""dry mouth"" spray to help relieve the discomfort of a dry mouth and throat.","Available in a 50mL bottle, Osmist offers 3 hours of relief and freshens the breath with a natural peppermint flavour. The papaya enzymes in Osmist also help the mouth produce its own saliva giving longer lasting relief from dry mouth.","Delivery
Orders of $220 or more (ex GST) will receive FREE DELIVERY."
7,https://www.flavourcreations.com.au/products/dysphagia/hydration--cordials-a-juices,not found,not found,,"We offer a strong and expanding product portfolio, with excellent branding and positioning in the market. It’s rare to find an established company at the forefront of Australian manufacturing creating so many opportunities.","Address
26-32 Murdoch Circuit,
                            Acacia Ridge QLD 4110 Australia
"
8,https://www.flavourcreations.com.au/products/dysphagia/hydration--water,Hydration,Water,"Flavour Creations’ cooling and refreshing pre-thickened ready-to-drink Water helps people with dysphagia manage their fluid and energy intake. Completely free of artificial flavours and colours, Water is available in three colour-coded viscosities and packaged in the new Flavour Creations’ Dysphagia Cup. The portion-controlled cup’s unique shape and textured surface allows for easier grip and control. In addition, the large foil pull tab enables easier opening allowing people with fine motor skill difficulties the ability to access drinks easier.","Flavour Creations’ Water range is suitable for use in residential aged care settings and in cases of stroke, Parkinson’s disease, Huntington’s disease, cerebral palsy, multiple sclerosis, muscular dystrophy, motor neurone disease as well as neurological disorders caused by injury or disease and malignancies of the oral cavity and throat.",Dysphagia Cup Lid & Label from Flavour Creations on Vimeo.
9,https://www.flavourcreations.com.au/products/dysphagia/hydration--hot-beverages,Ready-to-Drink,White Coffee,"Flavour Creations’ new and improved pre-thickened ready-to-drink White Coffee helps people with dysphagia manage their fluid and energy intake. Completely free of artificial flavours and colours, White Coffee is available in three colour-coded viscosities and packaged in the new Flavour Creations’ Dysphagia Cup. The portion-controlled cup’s unique shape and textured surface allows for easier grip and control. In addition, the large foil pull tab enables easier opening allowing people with fine motor skill difficulties the ability to access drinks easier.","Flavour Creations’ Hot Beverages are suitable for use in residential aged care settings and in cases of stroke, Parkinson’s disease, Huntington’s disease, cerebral palsy, multiple sclerosis, muscular dystrophy, motor neurone disease as well as neurological disorders caused by injury or disease and malignancies of the oral cavity and throat.","Level 150: Filtered Water, Full Cream Milk Powder (2.5%), Thickeners (1442, 415), Cane Sugar, Coffee (0.7%), Stabiliser (331), Natural Flavour, Emulsifier (471), Natural Colour (171)."
