,FEATURES,FEATURES.1,FEATURES.2
0,Energy Density,2.0 kcal/ml,8.4 kJ/ml
1,Energy Distribution,Energy Distribution,Energy Distribution
2,Protein,18%,"Sodium Caseinates, Calcium Caseinates and Soy Protein Isolates"
3,Carbohydrate,37%,Glucose Syrup and Sucrose
4,Fat,45%,Rapeseed Oil
5,Glycaemic Index,.........................................,46
6,Nonprotein Calorie: Nitrogen Ratio,.........................................,114:1
7,Calorie: Nitrogen Ratio,.........................................,140:1
8,Osmolality,.........................................,760m0sm/kg Water
9,Renal Solute Load,.........................................,380m0sm/1000mL
10,Water Content,.........................................,150 mL/237 mL
11,Osmolarity,.........................................,534m0sm/L
12,,,
