,FEATURES,FEATURES.1,FEATURES.2
0,Energy Density,1.0 kcal/ml,4.2 kJ/ml
1,Energy Distribution,Energy Distribution,Energy Distribution
2,Protein,18%,"50% Whey, 50% Casein"
3,Carbohydrate,39%,"Tapioca dextrin, isomaltulose and maltodextrin"
4,Fat,39%,"High oleic sunflower oil, low erucic acid rapeseed oil and soy lecithin"
5,Glycaemic Index,.........................................,30
6,Nonprotein Calorie: Nitrogen Ratio,.........................................,113:1
7,Calorie: Nitrogen Ratio,.........................................,144:1
8,Osmolality,.........................................,293m0sm/kg Water
9,Renal Solute Load,.........................................,218m0sm/1000mL
10,Water Content,.........................................,200 mL/237 mL
11,Osmolarity,.........................................,246 m0sm/L
12,,,
