,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear,RESOURCE® ThickenUp® Clear
,Servings Per Pack: 750 Serving Size: 1.2g (Nectar-like),Average Quantityper Serving,Average Quantityper 100 g,% Daily Intake Per Serving Honey-like,Average Quantityper Serving Honey-like,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,15 kJ,1285 kJ,,31 kJ,,,,,,,
1,,3.7 Cal,310 Cal,,7.4 Cal,,,,,,,
2,Protein,0.01 g,0.8 g,,0.02 g,,,,,,,
3,Fat-total,0.0 g,0 g,,0 g,,,,,,,
4,- Saturated,0.0 g,0 g,,0 g,,,,,,,
5,Carbohydrate,0.8 g,63 g,,1.5 g,,,,,,,
6,- Sugars,0.02 g,1.8 g,,0.04 g,,,,,,,
7,Dietary Fibre,0.3 g,29 g,,0.7 g,,,,,,,
8,Sodium,13 mg,1060 mg,,25 mg,,,,,,,
9,Potassium,4.8 mg,400 mg,,9.6 mg,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
