,0,1,2,3
0,Isosource 2.0,Isosource 2.0,Isosource 2.0,Isosource 2.0
1,Servings Per Pack: 1 Serving Size: 1000ml (Soft Pack),Average Quantity per Serving,%DI* Per Serving,Average Quantity per 100ml
2,,,,
3,Energy,8340 kJ,,834 kJ
4,,2000 Cal,,200 Cal
5,Protein,84.0 g,,8.4 g
6,Fat-total,92.0 g,,9.2 g
7,Carbohydrate,216 g,,21.6 g
8,Dietary Fibre,0.0 g,,0 g
9,Sodium,1500 mg,,150 mg
10,Vitamin A,1040 µgRE,,104 µgRE
11,Vitamin B1(Thiamin),3.57 mg,,0.36 mg
12,Riboflavin (B2),4.0 mg,,0.4 mg
13,Niacin,36 mgNE,,3.6 mgNE
14,Folate,640 µg,,64 µg
15,Vitamin B6,5.2 mg,,0.5 mg
16,Vitamin B12,10 µg,,1.0 µg
17,Biotin,80 µg,,8 µg
18,Pantothenic Acid,20 mg,,2.0 mg
19,Vitamin C,400 mg,,40 mg
20,Vitamin D,20 µg,,2.0 µg
21,Vitamin E,40 mgα-TE,,4.0 mgα-TE
22,Vitamin K,160 µg,,16 µg
23,Zinc,24 mg,,2.4 mg
24,Calcium,1600 mg,,160 mg
25,Iron,24 mg,,2.4 mg
26,Iodine,200 µg,,20 µg
27,Magnesium,560 mg,,56 mg
28,Manganese,6.0 mg,,0.6 mg
29,Molybdenum,200 µg,,20 µg
30,Phosphorus,1480 mg,,148 mg
31,Selenium,100 µg,,10 µg
32,Copper,2400 µg,,240 µg
33,Chloride,1500 mg,,150 mg
34,Potassium,2100 mg,,210 mg
35,Chromium,160 µg,,16 µg
36,Choline,800 mg,,80 mg
37,Taurine,200 mg,,20 mg
38,Carnitine,200 mg,,20 mg
39,All specified values are averages,All specified values are averages,All specified values are averages,All specified values are averages
