,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla,SUSTAGEN® Hospital Formula Vanilla
,Servings Per Pack: 14 Serving Size: 60g,Average Quantity per Serving (60g with 200ml Water),Average Quantity per 100g,Average Quantity per 100ml (Made up with Water),% Daily Intake** per 60g with 200ml Water,Average Quantityper Serving100g,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,940 kJ,1570 kJ,390 kJ,11%,,,,,,,
1,,225 Cal,375 Cal,94 Cal,,,,,,,,
2,Protein,13.8 g,23 g,5.8 g,28%,,,,,,,
3,Fat-total,1.5 g,2.5 g,0.6 g,2%,,,,,,,
4,- Saturated,0.96 g,1.6 g,0.40 g,4%,,,,,,,
5,Carbohydrate,39.0 g,65 g,16 g,13%,,,,,,,
6,- Sugars,27.0 g,45 g,11 g,30%,,,,,,,
7,Sodium,160 mg,270 mg,68 mg,7%,,,,,,,
8,Gluten,Nil detected mg,Nil detected mg,Nil detected mg,,,,,,,,
9,Vitamin A,210 µg,350 µg,88 µg,28% RDI*,,,,,,,
10,Thiamin (B1),0.55 mg,0.91 mg,0.23 mg,50% RDI*,,,,,,,
11,Riboflavin (B2),0.85 mg,1.41 mg,0.35 mg,50% RDI*,,,,,,,
12,Niacin (B3),5.0 mg,8.3 mg,2.1 mg,50% RDI*,,,,,,,
13,Folate,100 µg,170 µg,42 µg,50% RDI*,,,,,,,
14,Vitamin B6,0.8 mg,1.3 mg,0.33 mg,49% RDI*,,,,,,,
15,Vitamin B12,1.0 µg,1.6 µg,0.4 µg,48% RDI*,,,,,,,
16,Biotin,5.0 µg,8.3 µg,2.1 µg,17% EASDDI+,,,,,,,
17,Pantothenic Acid,0.8 mg,1.3 mg,0.33 mg,16% EASDDI+,,,,,,,
18,Vitamin C,20.0 mg,33 mg,8 mg,50% RDI*,,,,,,,
19,Vitamin D,3.6 µg,6.0 µg,1.5 µg,36% RDI*,,,,,,,
20,Vitamin E,5.0 mgα-TE,8.3 mgα-TE,2.1 mgα-TE,50% RDI*,,,,,,,
21,Vitamin K,27.0 µg,45 µg,11 µg,34% ESADDI+,,,,,,,
22,Zinc,3.6 mg,6.0 mg,1.5 mg,30% RDI*,,,,,,,
23,Calcium,400 mg,670 mg,170 mg,50% RDI*,,,,,,,
24,Iron,3.6 mg,6.0 mg,1.5 mg,30% RDI*,,,,,,,
25,Iodine,60.0 µg,100 µg,25 µg,40% RDI*,,,,,,,
