,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink,SUSTAGEN® Diabetic Ready to Drink
,Servings Per Pack: 1 Serving Size: 237ml (Tetra),Average Quantityper Serving,%DI*per Serving,Average Quantityper 100ml,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,1003* kJ,,422 kJ,,,,,,,,
1,,240* Cal,,101 Cal,,,,,,,,
2,Protein,10.7* g,,4.5 g,,,,,,,,
3,Fat-total,10.4* g,,4.4 g,,,,,,,,
4,Carbohydrate,23.2* g,,9.8 g,,,,,,,,
5,- Sugars,2.49 g,,1.05 g,,,,,,,,
6,- Maltodextrin,0.76 g,,0.32 g,,,,,,,,
7,- Starch,19.96 g,,8.42 g,,,,,,,,
8,Dietary Fibre,4.5* g,,1.9 g,,,,,,,,
9,Sodium,230 mg,,97 mg,,,,,,,,
10,Vitamin A,239 µgRE,,101 µgRE,,,,,,,,
11,Vitamin B1(Thiamin),0.31 mg,,0.13 mg,,,,,,,,
12,Vitamin B2(Riboflavin),0.31 mg,,0.13 mg,,,,,,,,
13,Niacin,4.4 mgNE,,1.8 mgNE,,,,,,,,
14,Folate,66 µg,,28 µg,,,,,,,,
15,Vitamin B6,0.59 mg,,0.25 mg,,,,,,,,
16,Vitamin B12,1.14 µg,,0.48 µg,,,,,,,,
17,Biotin,8.3 µg,,3.5 µg,,,,,,,,
18,Pantothenic Acid,1.56 mg,,0.66 mg,,,,,,,,
19,Vitamin C,29.2 mg,,12.3 mg,,,,,,,,
20,Vitamin D,3.3 µg,,1.4 µg,,,,,,,,
21,Vitamin E,2.6 mg?-TE,,1.1 mg?-TE,,,,,,,,
22,Vitamin K,19.2 µg,,8.1 µg,,,,,,,,
23,Zinc,1.9 mg,,0.8 mg,,,,,,,,
24,Calcium,187 mg,,79 mg,,,,,,,,
25,Iron,2.8 mg,,1.2 mg,,,,,,,,
26,Iodine,28 µg,,12 µg,,,,,,,,
27,Magnesium,43 mg,,18 mg,,,,,,,,
28,Manganese,0.44 mg,,0.19 mg,,,,,,,,
29,Molybdenum,17.3 µg,,7.3 µg,,,,,,,,
30,Phosphorus,130 mg,,55 mg,,,,,,,,
31,Selenium,10.4 µg,,4.4 µg,,,,,,,,
32,Copper,330 µg,,140 µg,,,,,,,,
33,Chloride,190 mg,,80 mg,,,,,,,,
34,Potassium,228 mg,,96 mg,,,,,,,,
35,Chromium,23.0 µg,,9.7 µg,,,,,,,,
36,Choline,88 mg,,37 mg,,,,,,,,
37,Inositol,119 mg,,50 mg,,,,,,,,
38,Taurine,15.93 mg,,6.72 mg,,,,,,,,
39,Carnitine,19.91 mg,,8.4 mg,,,,,,,,
40,,,,,,,,,,,,
41,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values,*Average Values
42,*Average Values,,,,,,,,,,,
