,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla,SUSTAGEN® Hospital Formula Plus Fibre Vanilla
,Servings Per Pack: 14 Serving Size: 60g (Ave Qty per serve + 200ml water),Average Quantity per Serving,Average Quantity per 100g,Avg qty per 100ml (Made up with Water),% Daily Intake* Per Serve + 200 with 200mL Water,Average Quantityper Serving100g,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,940 kJ,1570 kJ,390 kJ,11%,,,,,,,
1,,225 Cal,375 Cal,94 Cal,,,,,,,,
2,Protein,13.8 g,23 g,5.8 g,28%,,,,,,,
3,Fat-total,1.5 g,2.5 g,0.6 g,2%,,,,,,,
4,- Saturated,0.96 g,1.6 g,0.40 g,4%,,,,,,,
5,Carbohydrate,37.0 g,61.6 g,15.5 g,12%,,,,,,,
6,- Sugars,27.0 g,45 g,11 g,30%,,,,,,,
7,Dietary Fibre,4.1 g,6.9 g,1.7 g,14%,,,,,,,
8,Sodium,160 mg,270 mg,68 mg,7%,,,,,,,
9,Gluten,Nil detected mg,Nil detected mg,Nil detected mg,,,,,,,,
10,,,,,,,,,,,,
11,,,,,%RDI**,,,,,,,
12,,,,,,,,,,,,
13,Vitamin A,210 µg,350 µg,88 µg,28%,,,,,,,
14,Vitamin B1(Thiamin),0.55 mg,0.91 mg,0.23 mg,50%,,,,,,,
15,Riboflavin (B2),0.85 mg,1.41 mg,0.35 mg,50%,,,,,,,
16,Niacin (B3),5.0 mg,8.3 mg,2.1 mg,50%,,,,,,,
17,Folate,100 µg,170 µg,42 µg,50%,,,,,,,
18,Vitamin B6,0.8 mg,1.3 mg,0.33 mg,49%,,,,,,,
19,Vitamin B12,1.0 µg,1.6 µg,0.4 µg,48%,,,,,,,
20,Biotin,5.0 µg,8.3 µg,2.1 µg,17% EASDDI+,,,,,,,
21,Pantothenic Acid,0.8 mg,1.3 mg,0.33 mg,16% EASDDI+,,,,,,,
22,Vitamin C,20 mg,33 mg,8 mg,50%,,,,,,,
23,Vitamin D,3.6 µg,6.0 µg,1.5 µg,36%,,,,,,,
24,Vitamin E,5.0 mgα-TE,8.3 mgα-TE,2.1 mgα-TE,50%,,,,,,,
25,Vitamin K,27.0 µg,45 µg,11 µg,34% ESADDI+,,,,,,,
26,Zinc,3.6 mg,6.0 mg,1.5 mg,30%,,,,,,,
27,Calcium,400 mg,670 mg,170 mg,50%,,,,,,,
28,Iron,3.6 mg,6.0 mg,1.5 mg,30%,,,,,,,
29,Iodine,60.0 µg,100 µg,25 µg,40%,,,,,,,
30,Magnesium,96.0 mg,160 mg,40 mg,30%,,,,,,,
31,Manganese,0.7 mg,1.1 mg,0.3 mg,13% EASDDI+,,,,,,,
32,Molybdenum,34 µg,56 µg,14 µg,13% EASDDI+,,,,,,,
33,Phosphorus,420 mg,700 mg,180 mg,42%,,,,,,,
34,Selenium,9.0 µg,15 µg,3.8 µg,13%,,,,,,,
35,Copper,300 µg,600 µg,140 µg,11% EASDDI+,,,,,,,
36,Chloride,370 mg,620 mg,160 mg,,,,,,,,
37,Potassium,660 mg,1100 mg,275 mg,,,,,,,,
38,Chromium,27.0 µg,45 µg,11 µg,14% EASDDI+,,,,,,,
39,,,,,,,,,,,,
