,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™,SUSTAGEN® OPTIMUM™
,Servings Per Pack: 14 Serving Size: 55g (Ave Qty Per serve + 190ml water),Average Quantityper Serving,Average Quantityper 100g,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1,Unnamed: 8_level_1,Unnamed: 9_level_1,Unnamed: 10_level_1,Unnamed: 11_level_1
0,Energy,1050 kJ,1900 kJ,,,,,,,,,
1,,250 Cal,455 Cal,,,,,,,,,
2,Protein,10.1 g,18.3 g,,,,,,,,,
3,Fat-total,9.6 g,17.5 g,,,,,,,,,
4,- Saturated,0.94 g,1.7 g,,,,,,,,,
5,- Polyunsaturated,1.9 g,3.4 g,,,,,,,,,
6,- Monounsaturated,6.2 g,11.2 g,,,,,,,,,
7,Carbohydrate,29.3 g,53.2 g,,,,,,,,,
8,- Sugars,7.7 g,14 g,,,,,,,,,
9,- lactose,0.11 g,0.2 g,,,,,,,,,
10,- galactose,0.06 g,0.1 g,,,,,,,,,
11,Dietary Fibre,,,,,,,,,,,
12,- Inulin,0.9 g,1.7 g,,,,,,,,,
13,- Prebiotic Fibre,3.1 g,5.6 g,,,,,,,,,
14,- Fructo-Oligosaccharide,2.2 g,3.9 g,,,,,,,,,
15,Sodium,121 mg,220 mg,,,,,,,,,
16,Gluten,,,,,,,,,,,
17,Vitamin A,215 µgRE,390 µgRE,,,,,,,,,
18,Vitamin B1(Thiamin),0.23 mg,0.42 mg,,,,,,,,,
19,Vitamin B2(Riboflavin),0.3 mg,0.55 mg,,,,,,,,,
20,Niacin,3.03 mgNE,5.5 mgNE,,,,,,,,,
21,Folate,110 µg,200 µg,,,,,,,,,
22,Vitamin B6,1.0 mg,1.9 mg,,,,,,,,,
23,Vitamin B12,1.7 µg,3.1 µg,,,,,,,,,
24,Biotin,7.7 µg,14 µg,,,,,,,,,
25,Pantothenic Acid,1.3 mg,2.4 mg,,,,,,,,,
26,Vitamin C,30 mg,55 mg,,,,,,,,,
27,Vitamin D,1.8 µg,3.2 µg,,,,,,,,,
28,Vitamin E,41 mg?-TE,75 mg?-TE,,,,,,,,,
29,Vitamin K,15 µg,27 µg,,,,,,,,,
30,Zinc,2.9 mg,5.2 mg,,,,,,,,,
31,Calcium,150 mg,270 mg,,,,,,,,,
32,Iron,2.1 mg,3.8 mg,,,,,,,,,
33,Iodine,33.0 µg,60 µg,,,,,,,,,
34,Magnesium,24 mg,43 mg,,,,,,,,,
35,Manganese,0.26 mg,0.48 mg,,,,,,,,,
36,Molybdenum,15.4 µg,28 µg,,,,,,,,,
37,Phosphorus,115 mg,210 mg,,,,,,,,,
38,Selenium,11.0 µg,20 µg,,,,,,,,,
39,Copper,550 µg,1000 µg,,,,,,,,,
40,Chloride,182 mg,330 mg,,,,,,,,,
41,Potassium,308 mg,560 mg,,,,,,,,,
42,Chromium,7.7 µg,14 µg,,,,,,,,,
43,Probiotics,550million cfu,1 billion cfu,,,,,,,,,
44,,,,,,,,,,,,
45,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units,*cfu = Colony-forming units
46,*cfu = Colony-forming units,,,,,,,,,,,
