item_id,ingredient
12151076,Maltodextrin
12151076,Thickener
12151076,Mineral Salt
12151076,milk
12132987,Maltodextrin
12132987,Thickener
12132987,Mineral Salt
12132987,milk
12114005,Maltodextrin
12114005,Thickener
12114005,Mineral Salt
12114005,milk
12317536,Vanilla Flavour: Skimmed Milk Powder
12317536,Milk Proteins [Calcium Caseinate
12317536,Sodium Caseinate ]
12317536,Maltodextrin
12317536,Vegetable Oil
12317536,Minerals
12317536,Vegetable Gum
12317536,Fructo-Oligosaccharide
12317536,Inulin
12317536,Medium Chain Triglycerides
12317536,Glucose Syrup
12317536,Sugar
12317536,Fish Oil
12317536,Flavour
12317536,Emulsifiers
12317536,Sweeteners
12317536,Antioxidants
12317536,Vitamins
12317536,Colour
12317536,Milk
12317536,Soy and Fish
12317536,Phenylalanine
12317536,Egg
12317536,Gluten-free
12371262,Chocolate Bar: Milk Proteins
12371262,Milk Chocolate  [Sugar
12371262,Cocoa Solids
12371262,Whole Milk Powder
12371262,Emulsifier
12371262,Flavour]
12371262,Polydextrose
12371262,Sorbitol
12371262,Glycerol
12371262,Minerals
12371262,Cocoa Powder
12371262,Vegetable Oils
12371262,Fructose Syrup
12371262,Soy Protein Isolate
12371262,Glucose Syrup
12371262,Flavour
12371262,Vitamins
12371262,Emulsifier
12371262,Milk and Soy
12371262,Tree Nuts
12371262,Peanuts and Oats
12335966,Tomato Flavour Soup: Milk Proteins [Calcium Caseinate
12335966,Sodium Caseinate ]
12335966,Skimmed Milk Powder
12335966,Tomato
12335966,Minerals
12335966,Vegetable Oil
12335966,Maltodextrin
12335966,Vegetable Gum
12335966,Colours
12335966,Fructo-Oligosaccharide
12335966,Inulin
12335966,Medium Chain Triglycerides
12335966,Glucose Syrup
12335966,Sugar
12335966,Fish Oil
12335966,Parsley
12335966,Emulsifiers
12335966,Antioxidants
12335966,Flavours
12335966,Vitamins
12335966,Milk
12335966,Soy and Fish
12335966,Egg
12335966,Gluten-free
12316505,Vanilla Flavour:  Skimmed Milk Powder
12316505,Milk Proteins [Calcium Caseinate
12316505,Sodium Caseinate ]
12316505,Maltodextrin
12316505,Vegetable Oil
12316505,Minerals
12316505,Vegetable Gum
12316505,Fructo-Oligosaccharide
12316505,Inulin
12316505,Medium Chain Triglycerides
12316505,Glucose Syrup
12316505,Sugar
12316505,Fish Oil
12316505,Flavour
12316505,Emulsifiers
12316505,Sweeteners
12316505,Antioxidants
12316505,Vitamins
12316505,Colour
12316505,Milk
12316505,Soy and Fish
12316505,Phenylalanine
12316505,Egg
12316505,Gluten-free
12147940,Unflavoured:  Whey Protein Isolate
12147940,Soy Lecithin
12147940,Milk and Soy
12244614,Maltodextrin
12244614,amino acids
12244614,modified potato starch
12244614,minerals
12244614,sunflower oil
12244614,stabilizer
12244614,choline bitartrate
12244614,vitamins
12244614,L-carnitine
12244614,taurine
12244614,acidity regulator
12244614,Packed under protective atmosphere
12244614,traces of milk
12358289,Vanilla:  Water
12358289,Glucose Syrup
12358289,Vegetable Oil
12358289,Milk Proteins
12358289,Sucrose
12358289,Soy Protein Isolates
12358289,Minerals
12358289,Emulsifier
12358289,Stabilizers
12358289,Acidity Regulator
12358289,Choline Chloride
12358289,Vitamins
12358289,L-Carnitine
12358289,Taurine
12358289,Natural and Artificial Flavourings
12358289,Milk and Soy
9517630,Orange Flavour:  L-arginine Powder
9517630,Citric and Malic Acids
9517630,Sodium Ascorbate
9517630,Alpha-Tocopheryl Acetate
9517630,and less than 2% of Aspartame *
9517630,Acesulfame Potassium
9517630,Natural and Artificial Flavour
9517630,Colour
9517630,*Phenylketonurics:  Phenylalanine
12391370,Maltodextrin
12391370,Sucrose
12391370,Milk Proteins
12391370,Vegetable Oils
12391370,Medium Chain Triglycerides
12391370,Minerals
12391370,Stabiliser
12391370,Fibers
12391370,Emulsifier
12391370,Food Acid
12391370,Choline Bitartrate
12391370,Flavour
12391370,Fish Oil
12391370,Taurine
12391370,L-Carnitine
12391370,Vitamins
12391370,Probiotics Cultures
12391370,Milk
12391370,Soy and Fish
12358324,Water
12358324,Tapioca Dextrin
12358324,Vegetable Oil
12358324,Milk Protein Concentrate
12358324,Whey Protein
12358324,Isomaltulose
12358324,Guar Gum
12358324,Stabilizers
12358324,Minerals
12358324,Maltodextrin
12358324,Fructo-Oligosaccharides
12358324,Inulin
12358324,Emulsifier
12358324,Acidity Regulator
12358324,Inositol
12358324,Choline Bi-tartrate
12358324,Vitamins
12358324,Artificial and Natural Flavourings
12358324,L-Carnitine
12358324,Sweetener
12358324,Taurine
12358324,Milk and Soy
12338428,Vanilla Flavour: Non Fat Milk Solids
12338428,Corn Syrup Solids
12338428,Guar Gum
12338428,Whole Milk Powder
12338428,Sugar
12338428,Minerals
12338428,Vitamins
12338428,Stabiliser
12338428,Flavour
12338428,Milk
12338428,Soy
12338428,Gluten Free
12353317,Maltodextrin
12353317,Milk Proteins
12353317,Vegetable Oil
12353317,Sucrose
12353317,Prebiotic Fibres
12353317,Minerals
12353317,Flavour
12353317,Emulsifier
12353317,Food Acid
12353317,Vitamins
12353317,Sweetener
12353317,Probiotic Culture
12353317,Milk and Soy
12339185,Vanilla Flavour:  Non Fat Milk Solids
12339185,Corn Syrups Solids
12339185,Whole Milk Powder
12339185,Sugar
12339185,Minerals
12339185,Vitamins
12339185,Stabiliser
12339185,Flavour
12339185,Milk
12339185,Soy
12339185,Gluten Free
12358952,Unflavoured:  Water
12358952,Maltodextrin
12358952,Milk Proteins
12358952,Vegetable Oils
12358952,Pea Fibre
12358952,Minerals
12358952,Stabilizers
12358952,Fructo-Oligosaccharide
12358952,Inulin
12358952,Emulsifier
12358952,Acidity Regulators
12358952,Choline Bi-tartrate
12358952,Vitamins
12358952,Milk and Soy
12371413,Ingredients: Water
12371413,maltodextrin
12371413,rehydrated chicken meat
12371413,rehydrated vegetables 5
12371413,95 %
12371413,milk proteins
12371413,orange juice from concentrate
12371413,peach puree
12371413,vegetable oils
12371413,fibres
12371413,MCT oil
12371413,minerals
12371413,emulsifiers
12371413,fish oil
12371413,vitamins
12371413,choline bitartrate
12371413,stabiliser
12371413,antioxidant
12371413,milk and fish
12371413,Milk and Fish
12370717,Neutral :  Water
12370717,Maltodextrin
12370717,Milk proteins
12370717,Vegetable Oils
12370717,partially hydrolysed Guar Gum
12370717,Medium Chain Triglycerides
12370717,Minerals
12370717,Emulsifiers
12370717,Choline Bitartrate
12370717,Vitamins
12370717,Stabiliser
12370717,Antioxidant
12370717,Milk
12297832,Neutral:  Water
12297832,Corn Syrup
12297832,Milk Proteins
12297832,Medium Chain Tryglyceride
12297832,Vegetable Oil
