nutrient,measure, value,item_id
Energy,kJ,105,12151076
Protein,nan,,12151076
 L-Arginine,g,4.5,12151076
Total Nitrogen,g,1.4,12151076
Carbohydrate,g,2.0,12151076
Fat,g,0.0,12151076
 Saturated,g,0.0,12151076
Sodium,mg,30.0,12151076
Potassium,mg,5.0,12151076
Vitamin C,mg,156.0,12151076
Vitamin E,mg,60.0,12151076
Energy,kJ,105,12132987
Protein,nan,,12132987
 L-Arginine,g,4.5,12132987
Total Nitrogen,g,1.4,12132987
Carbohydrate,g,2.0,12132987
Fat,g,0.0,12132987
 Saturated,g,0.0,12132987
Sodium,mg,30.0,12132987
Potassium,mg,5.0,12132987
Vitamin C,mg,156.0,12132987
Vitamin E,mg,60.0,12132987
Energy,kJ,105,12114005
Protein,nan,,12114005
 L-Arginine,g,4.5,12114005
Total Nitrogen,g,1.4,12114005
Carbohydrate,g,2.0,12114005
Fat,g,0.0,12114005
 Saturated,g,0.0,12114005
Sodium,mg,30.0,12114005
Potassium,mg,5.0,12114005
Vitamin C,mg,156.0,12114005
Vitamin E,mg,60.0,12114005
Energy,kJ,105,12317536
Protein,nan,,12317536
 L-Arginine,g,4.5,12317536
Total Nitrogen,g,1.4,12317536
Carbohydrate,g,2.0,12317536
Fat,g,0.0,12317536
 Saturated,g,0.0,12317536
Sodium,mg,30.0,12317536
Potassium,mg,5.0,12317536
Vitamin C,mg,156.0,12317536
Vitamin E,mg,60.0,12317536
Energy,kJ,105,12371262
Protein,nan,,12371262
 L-Arginine,g,4.5,12371262
Total Nitrogen,g,1.4,12371262
Carbohydrate,g,2.0,12371262
Fat,g,0.0,12371262
 Saturated,g,0.0,12371262
Sodium,mg,30.0,12371262
Potassium,mg,5.0,12371262
Vitamin C,mg,156.0,12371262
Vitamin E,mg,60.0,12371262
Energy,kJ,105,12335966
Protein,nan,,12335966
 L-Arginine,g,4.5,12335966
Total Nitrogen,g,1.4,12335966
Carbohydrate,g,2.0,12335966
Fat,g,0.0,12335966
 Saturated,g,0.0,12335966
Sodium,mg,30.0,12335966
Potassium,mg,5.0,12335966
Vitamin C,mg,156.0,12335966
Vitamin E,mg,60.0,12335966
Energy,kJ,105,12316505
Protein,nan,,12316505
 L-Arginine,g,4.5,12316505
Total Nitrogen,g,1.4,12316505
Carbohydrate,g,2.0,12316505
Fat,g,0.0,12316505
 Saturated,g,0.0,12316505
Sodium,mg,30.0,12316505
Potassium,mg,5.0,12316505
Vitamin C,mg,156.0,12316505
Vitamin E,mg,60.0,12316505
Energy,kJ,105,12147940
Protein,nan,,12147940
 L-Arginine,g,4.5,12147940
Total Nitrogen,g,1.4,12147940
Carbohydrate,g,2.0,12147940
Fat,g,0.0,12147940
 Saturated,g,0.0,12147940
Sodium,mg,30.0,12147940
Potassium,mg,5.0,12147940
Vitamin C,mg,156.0,12147940
Vitamin E,mg,60.0,12147940
Energy,kJ,105,12244614
Protein,nan,,12244614
 L-Arginine,g,4.5,12244614
Total Nitrogen,g,1.4,12244614
Carbohydrate,g,2.0,12244614
Fat,g,0.0,12244614
 Saturated,g,0.0,12244614
Sodium,mg,30.0,12244614
