item_id,nutrient,measure,value,perc_daily_recom
12151076,Energy,kJ,15,
12151076,Protein,g,0.01,
12151076,Fat-total,g,0.0,
12151076, Saturated,g,0.0,
12151076,Carbohydrate,g,0.8,
12151076, Sugars,g,0.02,
12151076,Dietary Fibre,g,0.3,
12151076,Sodium,mg,13,
12132987,Energy,kJ,15,
12132987,Protein,g,0.01,
12132987,Fat-total,g,0.0,
12132987, Saturated,g,0.0,
12132987,Carbohydrate,g,0.8,
12132987, Sugars,g,0.02,
12132987,Dietary Fibre,g,0.3,
12132987,Sodium,mg,13,
12132987,Potassium,mg,4.8,
12132987,Approx 104 x 1.2g serves/can,Approxxgservescan,1041.2,
12114005,Energy,kJ,15,
12114005,Protein,g,0.01,
12114005,Fat-total,g,0.0,
12114005, Saturated,g,0.0,
12114005,Carbohydrate,g,0.8,
12114005, Sugars,g,0.02,
12114005,Dietary Fibre,g,0.3,
12114005,Sodium,mg,13,
12317536,Energy,kJ,840,
12317536,Protein,g,20,
12317536,Fat-total,g,4.5,
12317536, Saturated,g,0.9,
12317536, Linolenic Acid,g,1.2,
12317536, α-Linolenic,mg,196,
12317536,Carbohydrate,g,18.2,
12317536, Sugars,g,10.1,
12317536, Lactose,g,9.5,
12317536,Dietary Fibre,g,3.6,
12317536,Sodium,mg,215,
12317536,Vitamin A,ugRE,345,
12317536,Thiamin B1,mg,0.58,
12317536,Riboflavin (B2),mg,0.74,
12317536,Niacin,mgNE,8.0,
12317536,Pantothenic Acid,mg,2.7,
12317536,Vitamins B6,mg,1.0,
12317536,Biotin,ug,10.6,
12317536,Folic Acid,ug,110,
12317536,Vitamin B12,ug,1.1,
12317536,Vitamin C,mg,40,
12317536,Vitamin D,ug,3.7,
12317536,Vitamin E,mgTE,7.7,
12317536,Vitamin K,ug,31.8,
12317536,Calcium,mg,420,
12317536,Chromium,ug,13,
12317536,Copper,mg,1.1,
12317536,Fluoride,ug,340,
12317536,Iodine,ug,98,
12317536,Iron,mg,8.0,
12317536,Magnesium,mg,160,
12317536,Manganese,mg,0.8,
12317536,Molybdenum,ug,18.6,
12317536,Phosphorus,mg,360,
12317536,Selenium,ug,40,
12317536,Zinc,mg,4.2,
12317536,Potassium,mg,955,
12317536,Chloride,mg,280,
12371262,Energy,kJ,980,
12371262,Protein,g,19.3,
12371262,Fat - total,g,7.6,
12371262, Saturated,g,2.8,
12371262, Monounsaturated,g,2.7,
12371262, Polyunsaturated,g,1.4,
12371262, α-Linolenic Acid,mg,168,
12371262, Linoleic Acid,mg,1190,
12371262,Carbohydrate,g,23.4,
12371262, Sugars,g,7.1,
12371262, Lactose,g,1.4,
12371262, Glycerol,g,6.5,
12371262, Sorbitol,g,5.4,
12371262,Fibre,g,6.7,
12371262, Polydextrose,g,5.6,
12371262,Sodium,mg,335,
12371262,Vitamin A,gRE,336,
12371262,Thiamin,mg,0.46,
12371262,Riboflavin,mg,0.91,
12371262,Niacin,mgNE,14,
12371262,Pantothenic Acid,mg,2.8,
12371262,Vitamins B6,mg,0.9,
12371262,Biotin,g,19.6,
12371262,Folic Acid,g,140,
12371262,Vitamin B12,g,2.0,
12371262,Vitamin C,mg,39,
12371262,Vitamin D,g,2.8,
12371262,Vitamin E,mgTE,5.3,
12371262,Vitamin K,ug,31.5,
12371262,Calcium,mg,420,
12371262,Copper,mg,0.8,
12371262,Iodine,g,70,
12371262,Iron,mg,6.8,
12371262,Magnesium,mg,140,
12371262,Manganese,mg,0.8,
12371262,Phosphorus,mg,290,
12371262,Selenium,g,28,
12371262,Zinc,mg,4.9,
12335966,Energy,kJ,840,
12335966,Protein,g,20,
12335966,Fat-total,g,4.5,
12335966, Saturated,g,0.9,
12335966, Linoleic Acid,g,1.2,
12335966, alpha-Linolenic Acid,mg,196,
12335966,Carbohydrate,g,18.2,
12335966, Sugars,g,10.1,
12335966, Lactose,g,8.0,
