,url,name,category,brand,pack_size,case_size,indications,precautions,directions_for_use,shelf_life,flavours
0,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip Compact,Adult,Fortisip,125ml,6 x (4 x 125ml),"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition in children under 6 years of age. Monitor fluid intake to ensure adequate hydration status.,Fortisip Compact is ready to drink and is best served chilled. Shake well before opening.,12 months. Best before date: see side of bottle.,"Apricot,Banana,Chocolate,Forest Fruit,Mocha,Neutral,Strawberry,Vanilla"
1,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip Compact Fibre,Adult,Fortisip,125ml,6 x (4 x 125ml),"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition. Monitor fluid intake to ensure adequate hydration status.,"Fortisip Compact Fibre is ready to drink and best served chilled. Shake well before opening. Recommended dose is 2 bottles per day, unless specified by a clinician or dietitian.",12 months. Best before date: see side of bottle.,"Mocha,Strawberry,Vanilla"
2,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip Compact Protein,Adult,Fortisip,125ml,6 x (4 x 125ml),"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition. Monitor fluid intake to ensure adequate hydration status.,"Fortisip Compact Protein is ready to drink and best served chilled. Shake well before opening. Recommended dose is 1-2 bottles per day, unless specified by a clinician or dietitian.",12 months. Best before date: see side of bottle.,"Banana,Berries,Cool Red Fruits,Hot Tropical Ginger,Mocha,Neutral,Peach-Mango,Strawberry,Vanilla"
3,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip 2kcal,Adult,Fortisip,200ml,24 x 200ml,"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; CAPD; haemodialysis; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition in children under 6 years of age.,Fortisip 2kcal is ready to drink and is best served chilled. Shake well before opening.,12 months. Best before date: see side of bottle.,"Chocolate-Caramel,Forest Fruit,Mocha,Strawberry,Vanilla"
4,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip Extra,Adult,Fortisip,200ml,24 x 200ml,"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition. Only to be used as a supplement to the normal diet.,Fortisip Extra is ready to drink and best served chilled. Shake well before opening.,12 months. Best before date: see side of bottle.,"Strawberry,Vanilla"
5,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip Bottle,Adult,Fortisip,200ml,24 x 200ml,"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition in children under 6 years of age.,Fortisip Bottle is ready to drink and is best served chilled. Shake well before opening. Fortisip Bottle Neutral may be added to sweet and savoury foods.,12 months. Best before date: see side of bottle.,"Banana,Caramel,Chocolate,Neutral,Orange,Strawberry,Tropical,Vanilla"
6,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortijuce,Adult,Fortisip,200ml,24 x 200ml,"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition. Only to be used as a supplement to the normal diet.,Fortijuce is ready to drink and best served chilled. Shake well before opening.,9 months. Best before date: see side of bottle.,"Apple,Blackcurrant,Forest Fruit,Lemon,Orange,Strawberry,Tropical"
7,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Fortisip Yogurt Style,Adult,Fortisip,200ml,24 x 200ml,"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.",Not suitable as a sole source of nutrition in children under 6 years of age.,Fortisip Yogurt Style is ready to drink and is best served chilled. Shake well before use.,9 months. Best before date: see side of bottle.,"Peach/Orange,Raspberry,Vanilla/Lemon"
8,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Forticreme Complete,Adult,Fortisip,4 x 125g,6 x (4 x 125g),"For enteral use only. ACBS approved, prescribable on form FP10 (GP10 in Scotland) for the following indications: short bowel syndrome; intractable malabsorption; pre-operative preparation of undernourished patients; inflammatory bowel disease; total gastrectomy; dysphagia; bowel fistulae; disease related malnutrition; continuous ambulatory peritoneal dialysis (CAPD); haemodialysis.",Not suitable as a sole source of nutrition in children under 6 years of age.,Forticreme Complete is ready to eat and is best served chilled. Forticreme Complete may be eaten directly from the pot.,10 months. Best before date: see lid of pot.,"Banana,Chocolate,Forest Fruit,Vanilla"
9,https://www.nutriciahcp.com/adult/products/XPHEN_TYR_Tyrosidon/,Complan Shake,Adult,Other,57g,4 x 57g,"For enteral use only. ACBS approved, prescribable on form FP10
(GP10 in Scotland) for the following indications: short bowel
syndrome; intractable malabsorption; pre-operative preparation
of undernourished patients; inflammatory bowel disease; total
gastrectomy; dysphagia; bowel fistulae; disease related malnutrition.","Not suitable as a sole source of nutrition. Only to be used as a supplement
to the normal diet. Use with caution in children aged 3-6 years.","What you will need: 200ml (7fl oz pint) of whole milk or water; a
whisk or fork; a glass or mug or just a shaker.
Mixing up instructions:
1. Pour 50ml whole milk or water into a large glass or mug and add
one sachet of 57g powder.
2. Mix into a smooth cream with a whisk or fork.
3. Top up with the remaining 150ml stirring all the time.",15 months. Best before date: see bottom of pack or back of sachet.,"Banana,Chocolate,Original,Strawberry,Vanilla"
