item_id,flavour
12297832EACH,Neutral
12297832EACH,Neutral
12297832EACH,Neutral
12297832EACH,Chocolate
12297832EACH, Vanilla
12297832EACH,Cappuccino
12297832EACH, Berry Crunch
12297832EACH, Cranberry
12297832EACH, Assorted
12297832EACH, Chocolate
12297832EACH,Mixed Vegetables
12297832EACH, Tomato
12297832EACH, Chicken
12297832EACH,Banana
12297832EACH, Vanilla
12297832EACH, Caramel
12297832EACH, Coffee
12297832EACH, Assorted
12297832EACH, Chai
12297832EACH, Strawberry
12297832EACH, Chocolate
12297832EACH,Neutral
12297832EACH,Vanilla
12297832EACH,Vanilla
12297832EACH,Lemon
12297832EACH, Orange
12297832EACH,Vanilla
12297832EACH,Vanilla
12297832EACH,Chocolate
12297832EACH, Vanilla
12297832EACH,Vanilla
12297832EACH,Neutral
12297832EACH, Coffee
12297832EACH, Vanilla
12297832EACH, Chocolate
12297832EACH,Neutral
12297832EACH,Neutral
12297832EACH,Neutral
12297832EACH,
